,inception,observations,mean_ann,vol_ann,filled_values
SPY,2006-01-03,5211,0.124286,0.192080,0
QQQ,2006-01-03,5211,0.171473,0.219361,0
IWM,2006-01-03,5211,0.112276,0.243087,0
EFA,2006-01-03,5211,0.078332,0.213047,0
EEM,2006-01-03,5211,0.098415,0.279690,0
SHY,2006-01-03,5211,0.019452,0.015049,0
IEF,2006-01-03,5211,0.032750,0.068109,0
TLT,2006-01-03,5211,0.037346,0.147433,0
AGG,2006-01-03,5211,0.030785,0.052765,0
LQD,2006-01-03,5211,0.042348,0.085990,0
HYG,2007-04-11,4893,0.053462,0.108301,0
GLD,2006-01-03,5211,0.114619,0.184961,0
SLV,2006-04-28,5131,0.128423,0.333431,0
DBC,2006-02-06,5188,0.044453,0.193208,0
VNQ,2006-01-03,5211,0.104183,0.288703,0
