ticker,observations,first_date,last_date,missing_vs_calendar,duplicate_dates,nan_adj_close,zero_volume_days,jumps_gt_20pct,max_abs_daily_return,corporate_actions_detected,total_adjustment_ratio
AGG,5211,2006-01-03,2026-09-21,0,0,0,0,0,0.06839486897947011,246,0.5207135712707809
DBC,5188,2006-02-06,2026-09-21,0,0,0,0,0,0.07944429064906278,9,0.7927725675985614
EEM,5211,2006-01-03,2026-09-21,0,0,0,0,2,0.22769872791386536,39,0.660034156020411
EFA,5211,2006-01-03,2026-09-21,0,0,0,0,0,0.15887639656007924,40,0.5473844790136989
GLD,5211,2006-01-03,2026-09-21,0,0,0,0,0,0.11290530102327678,0,1.0
HYG,4893,2007-04-11,2026-09-21,0,0,0,0,0,0.12268905554623344,232,0.2992150606809222
IEF,5211,2006-01-03,2026-09-21,0,0,0,0,0,0.034262313234489916,227,0.5791107727139756
IWM,5211,2006-01-03,2026-09-21,0,0,0,0,0,0.1326693556406391,83,0.7606110242223455
LQD,5211,2006-01-03,2026-09-21,0,0,0,0,0,0.09767728397254394,247,0.4365225983119507
QQQ,5211,2006-01-03,2026-09-21,0,0,0,0,0,0.12164749981236755,74,0.8529908435264054
SHY,5211,2006-01-03,2026-09-21,0,0,0,0,0,0.00997402111956136,127,0.6785523394799416
SLV,5131,2006-04-28,2026-09-21,0,0,0,0,1,0.28540302491726877,0,1.0
SPY,5211,2006-01-03,2026-09-21,0,0,0,0,0,0.14519729746661536,83,0.684967960757332
TLT,5211,2006-01-03,2026-09-21,0,0,0,0,0,0.07519456465685503,247,0.5154831489964744
VNQ,5211,2006-01-03,2026-09-21,0,0,0,0,0,0.19513760562730287,82,0.4250237429752844
