lag,SPY,QQQ,IWM,EFA,EEM,SHY,IEF,TLT,AGG,LQD,HYG,GLD,SLV,DBC,VNQ
1,-0.103587,-0.084618,-0.073468,-0.111936,-0.122954,-0.071416,-0.030389,-0.029309,-0.050054,0.000914,0.000284,-0.017391,0.002487,-0.001088,-0.161983
2,-0.013613,-0.004411,0.017580,0.002670,-0.037624,-0.022949,-0.043368,-0.053279,-0.070393,-0.057423,0.012651,-0.013985,0.000992,-0.009142,0.007048
3,0.005862,-0.007220,0.000846,0.009019,0.034882,-0.022433,-0.006739,-0.030164,-0.033196,0.005593,-0.064066,0.002182,0.002990,0.006229,0.019292
4,-0.036477,-0.031005,-0.041567,-0.018048,-0.043075,0.010122,0.015020,0.004561,0.034511,-0.040059,0.005074,0.002672,-0.003740,0.009328,-0.052108
5,-0.013519,0.000358,-0.013444,-0.008196,-0.017572,0.020257,-0.017630,-0.006338,-0.008362,0.013382,0.006717,0.004455,-0.018151,0.004032,-0.020840
6,-0.033623,-0.035454,-0.025106,-0.037740,-0.038186,-0.015172,-0.002893,0.018762,-0.012244,-0.018736,-0.043905,-0.036578,-0.013259,-0.009538,-0.025772
7,0.045183,0.045072,0.029586,0.012076,0.000618,0.032572,-0.000165,-0.024410,0.001368,-0.043619,-0.009865,-0.014941,-0.005289,-0.003685,0.047611
8,-0.038707,-0.054929,-0.022631,-0.000551,-0.001268,-0.001232,-0.009492,-0.026768,-0.059842,0.063239,0.094056,0.011534,-0.012258,0.013349,0.007828
9,0.037435,0.050087,0.023488,-0.008572,-0.003330,0.032358,0.017525,0.031728,0.002588,0.056876,0.068503,-0.008220,0.028240,-0.000224,0.007197
10,-0.000721,-0.004287,0.024105,-0.005890,0.010121,0.050633,0.036297,0.030643,0.029196,-0.060727,-0.063295,0.013322,0.000012,-0.004411,0.028852
11,-0.001011,0.006603,-0.007335,-0.002092,-0.022808,-0.033147,0.001933,0.005661,0.047816,0.029596,0.000321,-0.025223,-0.010897,-0.011319,-0.040032
12,0.020210,0.018251,0.023525,0.024929,0.031786,-0.005596,-0.008982,0.001150,0.000041,0.006750,-0.002236,0.014201,0.023641,0.034875,0.002945
13,-0.019348,-0.020143,-0.021449,-0.016452,0.025769,0.025311,0.003813,-0.005002,-0.030994,-0.002116,-0.021321,0.015695,0.000163,0.018241,0.017813
14,-0.008777,-0.005942,-0.013334,0.001634,-0.024409,0.055026,0.021789,0.005797,0.038038,0.012881,-0.004735,-0.018740,-0.043590,-0.003766,-0.024733
15,-0.059216,-0.048213,-0.048831,-0.029947,-0.038840,-0.033919,-0.007893,0.006338,0.000676,-0.049720,-0.057040,0.008327,-0.027165,0.031615,-0.025800
16,0.059141,0.051560,0.037977,0.062284,0.075580,0.002870,-0.002773,-0.008413,0.000299,-0.008983,0.006961,-0.005348,0.038632,0.011586,0.063048
17,-0.014536,-0.010445,-0.006330,-0.003496,-0.006199,0.028269,0.021785,0.011280,-0.005825,0.035357,0.069646,-0.008450,-0.035085,-0.014675,-0.015496
18,-0.026891,-0.002222,-0.019254,-0.055690,-0.071950,0.017949,0.024683,0.032039,0.036433,0.021259,-0.051575,-0.012313,0.010177,-0.005797,-0.037652
19,0.015526,0.001163,-0.008572,0.017393,0.042721,0.034068,0.011062,0.019041,0.013539,-0.028964,-0.023173,-0.010805,-0.003195,-0.001289,-0.010709
20,0.021230,0.012994,0.037316,0.036109,0.022528,0.019191,0.016276,0.015201,-0.022913,-0.008813,-0.028871,-0.004699,0.004937,0.030252,0.035582
21,-0.014203,0.016989,-0.015519,-0.028284,-0.029288,-0.009911,-0.013358,0.000342,-0.017733,0.012294,0.006480,-0.001627,-0.003877,-0.013642,-0.068419
