ticker,rank,start,trough,end,depth,length_days,recovery_days
SPY,0,2007-10-09,2009-03-09,2012-08-16,-0.551894,1773.000000,1256.000000
SPY,1,2020-02-19,2020-03-23,2020-08-10,-0.337173,173.000000,140.000000
SPY,2,2022-01-03,2022-10-12,2023-12-13,-0.244964,709.000000,427.000000
QQQ,0,2007-10-31,2008-11-20,2010-12-08,-0.534040,1134.000000,748.000000
QQQ,1,2021-12-27,2022-11-03,2023-12-13,-0.351187,716.000000,405.000000
QQQ,2,2020-02-19,2020-03-16,2020-06-03,-0.285593,105.000000,79.000000
IWM,0,2007-07-13,2009-03-09,2011-02-08,-0.586400,1306.000000,701.000000
IWM,1,2018-08-31,2020-03-23,2020-11-09,-0.411333,801.000000,231.000000
IWM,2,2021-11-08,2022-06-16,2024-11-06,-0.319116,1094.000000,874.000000
EFA,0,2007-10-31,2009-03-09,2014-06-06,-0.610373,2410.000000,1915.000000
EFA,1,2018-01-26,2020-03-23,2020-11-16,-0.341934,1025.000000,238.000000
EFA,2,2021-09-07,2022-09-27,2024-02-20,-0.295318,896.000000,511.000000
EEM,0,2007-10-31,2008-11-20,2017-09-18,-0.664343,3610.000000,3224.000000
EEM,1,2021-02-17,2022-10-24,2025-09-15,-0.398223,1671.000000,1057.000000
EEM,2,2018-01-26,2020-03-23,2020-11-24,-0.382021,1033.000000,246.000000
SHY,0,2021-08-03,2022-10-20,2024-06-03,-0.057071,1035.000000,592.000000
SHY,1,2008-03-17,2008-06-12,2008-09-15,-0.022315,182.000000,95.000000
SHY,2,2008-12-30,2009-06-08,2009-07-08,-0.011924,190.000000,30.000000
IEF,0,2020-08-04,2023-10-19,,-0.239248,,
IEF,1,2008-12-30,2009-06-10,2010-06-28,-0.104015,545.000000,383.000000
IEF,2,2013-05-02,2013-09-05,2014-10-14,-0.090755,530.000000,404.000000
TLT,0,2020-08-04,2023-10-19,,-0.483512,,
TLT,1,2008-12-30,2009-06-10,2011-08-18,-0.265854,961.000000,799.000000
TLT,2,2012-07-25,2013-08-21,2014-12-10,-0.206588,868.000000,476.000000
AGG,0,2020-08-04,2022-10-20,,-0.184330,,
AGG,1,2008-09-09,2008-10-10,2008-12-15,-0.128353,97.000000,66.000000
AGG,2,2020-03-06,2020-03-18,2020-05-21,-0.095792,76.000000,64.000000
LQD,0,2021-09-22,2022-10-20,,-0.249549,,
LQD,1,2020-03-06,2020-03-19,2020-06-10,-0.217621,96.000000,83.000000
LQD,2,2008-05-01,2008-09-29,2009-01-09,-0.215376,253.000000,102.000000
HYG,0,2007-09-19,2008-11-20,2009-12-02,-0.342466,805.000000,377.000000
HYG,1,2020-02-20,2020-03-23,2020-11-04,-0.220287,258.000000,226.000000
HYG,2,2021-12-27,2022-09-27,2024-03-07,-0.157902,801.000000,527.000000
GLD,0,2011-08-22,2015-12-17,2020-07-29,-0.455550,3264.000000,1686.000000
GLD,1,2008-03-17,2008-11-12,2009-09-16,-0.294141,548.000000,308.000000
GLD,2,2026-01-29,2026-07-16,,-0.264045,,
SLV,0,2011-04-28,2020-03-18,2025-10-13,-0.762802,5282.000000,2035.000000
SLV,1,2008-03-05,2008-10-27,2010-09-22,-0.570826,931.000000,695.000000
SLV,2,2026-01-28,2026-07-16,,-0.522822,,
DBC,0,2008-07-02,2020-04-27,,-0.763626,,
DBC,1,2006-05-11,2006-09-20,2007-06-14,-0.143653,399.000000,267.000000
DBC,2,2008-03-13,2008-03-20,2008-04-16,-0.100128,34.000000,27.000000
VNQ,0,2007-02-07,2009-03-06,2012-09-07,-0.730655,2039.000000,1281.000000
VNQ,1,2020-02-21,2020-03-23,2021-04-15,-0.423982,419.000000,388.000000
VNQ,2,2021-12-31,2023-10-25,2026-06-12,-0.344785,1624.000000,961.000000
