,lb_stat_returns,lb_pvalue_returns,lb_stat_squared,lb_pvalue_squared
SPY,96.621083,0.000000,3991.682398,0.000000
QQQ,88.690510,0.000000,2841.152407,0.000000
IWM,56.140997,0.000000,4833.155021,0.000000
EFA,76.565039,0.000000,3829.605322,0.000000
EEM,111.962056,0.000000,4422.574043,0.000000
SHY,60.118569,0.000000,2160.159555,0.000000
IEF,26.625598,0.002984,1145.063278,0.000000
TLT,43.161272,0.000005,3297.937875,0.000000
AGG,75.111525,0.000000,1397.880031,0.000000
LQD,95.358117,0.000000,3554.441001,0.000000
HYG,117.134625,0.000000,2583.593181,0.000000
GLD,12.848055,0.232292,724.103600,0.000000
SLV,7.741100,0.654109,786.811931,0.000000
DBC,2.740071,0.986897,1749.443418,0.000000
VNQ,175.619339,0.000000,6899.464658,0.000000
