,PC1,PC2,PC3,PC4,PC5
SPY,0.385501,0.030641,-0.112891,0.104513,0.012149
QQQ,0.354227,0.034836,-0.119470,0.178145,-0.036639
IWM,0.365856,0.025335,-0.108111,0.179919,0.097555
EFA,0.373764,0.057065,-0.022262,0.046064,-0.005375
EEM,0.360288,0.041555,0.009385,0.077155,-0.023677
SHY,-0.123512,0.371508,-0.009572,0.252636,0.555983
IEF,-0.159451,0.447930,-0.079777,0.133254,0.146496
TLT,-0.164048,0.410651,-0.108173,0.097404,-0.052300
AGG,-0.030305,0.460516,-0.118666,-0.144828,-0.065012
LQD,0.066895,0.409094,-0.175185,-0.377869,-0.313451
HYG,0.292768,0.140390,-0.147509,-0.433989,-0.175598
GLD,0.061445,0.220558,0.608976,0.200210,-0.195201
SLV,0.135729,0.182995,0.592051,0.103045,-0.259806
DBC,0.210427,0.020451,0.366086,-0.572487,0.622037
VNQ,0.312056,0.056873,-0.143625,0.308670,0.171010
