,PC1,PC2,PC3,effective_rank,n_for_90pct
2008-04-10,0.489132,0.160469,0.139146,5.467425,6
2008-05-09,0.486735,0.163928,0.140444,5.467340,6
2008-06-10,0.486771,0.170115,0.136075,5.442070,6
2008-07-10,0.487661,0.168712,0.131707,5.480009,6
2008-08-08,0.484966,0.172281,0.129575,5.506028,6
2008-09-09,0.482240,0.174500,0.130014,5.521327,6
2008-10-08,0.480154,0.168788,0.136386,5.435641,6
2008-11-06,0.459066,0.185084,0.130773,5.624028,6
2008-12-08,0.477868,0.168764,0.126428,5.511317,6
2009-01-08,0.466675,0.166024,0.127364,5.720541,6
2009-02-09,0.467970,0.162608,0.130279,5.697766,6
2009-03-11,0.470976,0.160658,0.125893,5.708128,6
2009-04-09,0.466046,0.163668,0.121579,5.783393,6
2009-05-11,0.467337,0.164120,0.118985,5.783632,6
2009-06-10,0.467828,0.162062,0.120842,5.780377,6
2009-07-10,0.471456,0.160857,0.121369,5.727957,6
2009-08-10,0.474778,0.159165,0.121898,5.683881,6
2009-09-09,0.477968,0.160290,0.118505,5.649896,6
2009-10-08,0.470526,0.192561,0.103358,5.613360,6
2009-11-06,0.480406,0.196764,0.113667,5.440177,6
2009-12-08,0.445669,0.223905,0.123172,5.627612,6
2010-01-08,0.462432,0.231357,0.124042,5.294030,6
2010-02-09,0.473189,0.233064,0.116625,5.183681,6
2010-03-11,0.476159,0.243125,0.107245,5.094037,6
2010-04-12,0.490661,0.233747,0.097173,5.064050,6
2010-05-11,0.508249,0.217742,0.096033,4.959785,6
2010-06-10,0.542575,0.194922,0.092931,4.705218,6
2010-07-12,0.544700,0.188484,0.095344,4.717571,6
2010-08-10,0.550047,0.183335,0.093167,4.699150,6
2010-09-09,0.552381,0.187181,0.092967,4.620882,6
2010-10-08,0.553888,0.186342,0.092596,4.614774,6
2010-11-08,0.541160,0.198692,0.091642,4.699731,6
2010-12-08,0.536716,0.212381,0.087731,4.650156,6
2011-01-07,0.531593,0.218910,0.090411,4.628631,5
2011-02-08,0.515731,0.223519,0.099776,4.750473,5
2011-03-10,0.515279,0.221337,0.103255,4.761317,6
2011-04-08,0.520793,0.210835,0.105153,4.777049,6
2011-05-10,0.509708,0.217907,0.108707,4.861985,6
2011-06-09,0.483864,0.232227,0.108330,5.104015,6
2011-07-11,0.492065,0.226819,0.105033,5.064847,6
