,n_obs,mean_ann,cagr,vol_ann,sharpe_naive,skew,excess_kurtosis,jarque_bera,jb_pvalue,min,q01,median,q99,max,downside_vol_ann,max_drawdown,hit_rate,autocorr_lag1
SPY,5210.000000,0.124286,0.111606,0.192080,0.581036,-0.002706,15.060838,49138.803106,0.000000,-0.109424,-0.035468,0.000697,0.031767,0.145197,0.157180,-0.551894,0.550672,-0.103587
QQQ,5210.000000,0.171473,0.158767,0.219361,0.723769,-0.056520,7.478132,12115.587515,0.000000,-0.119788,-0.039114,0.001149,0.035431,0.121647,0.168285,-0.534040,0.554319,-0.084618
IWM,5210.000000,0.112276,0.086117,0.243087,0.354265,-0.317332,6.197495,8406.245121,0.000000,-0.132669,-0.039670,0.000983,0.043364,0.091492,0.181966,-0.586400,0.533397,-0.073468
EFA,5210.000000,0.078332,0.057176,0.213047,0.268373,-0.040283,13.928946,42031.214910,0.000000,-0.111632,-0.038171,0.000733,0.035010,0.158876,0.169409,-0.610373,0.530902,-0.111936
EEM,5210.000000,0.098415,0.061239,0.279690,0.218952,0.511807,17.696568,68071.763246,0.000000,-0.161662,-0.049576,0.000901,0.050019,0.227699,0.210798,-0.664343,0.525336,-0.122954
SHY,5210.000000,0.019452,0.019526,0.015049,1.297501,0.362736,8.163629,14549.844556,0.000000,-0.006566,-0.002496,0.000000,0.002864,0.009974,0.010822,-0.057071,0.491171,-0.071416
IEF,5210.000000,0.032750,0.030898,0.068109,0.453661,0.146455,2.755818,1662.722140,0.000000,-0.025073,-0.010896,0.000205,0.011476,0.034262,0.044176,-0.239248,0.515547,-0.030389
TLT,5210.000000,0.037346,0.026837,0.147433,0.182030,0.084704,3.449047,2581.957769,0.000000,-0.066683,-0.023065,0.000405,0.024773,0.075195,0.097199,-0.483512,0.516891,-0.029309
AGG,5210.000000,0.030785,0.029822,0.052765,0.565183,-1.855268,50.256995,550211.978419,0.000000,-0.068395,-0.008100,0.000187,0.008234,0.038688,0.043876,-0.184330,0.526871,-0.050054
LQD,5210.000000,0.042348,0.039404,0.085990,0.458236,0.044597,59.163203,758368.257286,0.000000,-0.091111,-0.012267,0.000364,0.012295,0.097677,0.071042,-0.249549,0.531862,0.000914
HYG,4892.000000,0.053462,0.048761,0.108301,0.450238,0.757645,43.610508,387319.945112,0.000000,-0.080974,-0.019817,0.000303,0.017859,0.122689,0.092418,-0.342466,0.532298,0.000284
GLD,5210.000000,0.114619,0.102362,0.184961,0.553427,-0.303917,6.383578,8906.165065,0.000000,-0.102742,-0.032038,0.000570,0.030326,0.112905,0.138984,-0.455550,0.530710,-0.017391
SLV,5130.000000,0.128423,0.074492,0.333431,0.223411,-1.034133,12.300293,33184.473101,0.000000,-0.285403,-0.058522,0.000956,0.055493,0.144231,0.271408,-0.762802,0.520468,0.002487
DBC,5187.000000,0.044453,0.026062,0.193208,0.134889,-0.386771,2.959886,2017.576545,0.000000,-0.079444,-0.035354,0.000673,0.029909,0.068744,0.140756,-0.763626,0.516484,-0.001088
VNQ,5210.000000,0.104183,0.064381,0.288703,0.222999,0.012571,17.309905,64912.027347,0.000000,-0.195138,-0.056433,0.000760,0.056826,0.170065,0.234799,-0.730655,0.529559,-0.161983
