,vr_2,vr_5,vr_10,vr_21,vr_63,half_life_zscore_21
SPY,0.898945,0.819862,0.760459,0.740409,0.660414,5.138960
QQQ,0.917180,0.848731,0.798320,0.792688,0.762246,5.394937
IWM,0.927688,0.896422,0.846248,0.837702,0.753489,5.241637
EFA,0.890659,0.837051,0.785835,0.763531,0.744495,5.354746
EEM,0.879282,0.779630,0.693731,0.668820,0.676488,5.343029
SHY,0.928599,0.844363,0.848244,0.963597,1.426369,4.755494
IEF,0.969861,0.900545,0.864880,0.916455,0.966481,5.881996
TLT,0.970484,0.866404,0.813488,0.844016,0.871946,5.742911
AGG,0.949478,0.823897,0.752958,0.765156,0.746824,5.407761
LQD,1.004444,0.930205,0.894468,0.904408,0.818236,5.776533
HYG,1.001506,0.977751,0.978735,0.978949,0.820968,6.153823
GLD,0.984031,0.959188,0.922432,0.881123,0.766837,5.985994
SLV,1.003817,1.006680,0.975532,0.934828,0.878329,6.220932
DBC,0.999477,0.998160,1.007390,1.067276,1.365302,6.423879
VNQ,0.838594,0.749626,0.689722,0.685029,0.583626,5.314844
