estimator,ticker,n_obs,corr,rmse,mae,mean_bias,mean_ratio,qlike,r2
garch_11,SPY,4439.000000,0.595004,0.084169,0.055391,0.023508,1.299283,0.383348,0.164185
ewma_hl11,SPY,5160.000000,0.657293,0.088782,0.052836,0.003577,1.125098,0.477230,0.344969
ewma_hl40,SPY,5160.000000,0.551847,0.096763,0.059368,0.011810,1.227204,0.522479,0.221923
rolling_63,SPY,5153.000000,0.543787,0.101100,0.059472,0.006177,1.167916,0.596217,0.151221
rolling_252,SPY,5039.000000,0.340908,0.114181,0.073688,0.016114,1.311416,0.689049,-0.064633
parkinson_21,SPY,5181.000000,0.668586,0.086938,0.049461,-0.028463,0.898734,0.803079,0.370212
garch_11,QQQ,4439.000000,0.574755,0.085811,0.058883,0.021430,1.234361,0.297696,0.189020
ewma_hl11,QQQ,5160.000000,0.620329,0.089130,0.057693,0.003387,1.104092,0.353705,0.284241
ewma_hl40,QQQ,5160.000000,0.519179,0.094529,0.062364,0.010469,1.181518,0.374603,0.194901
rolling_63,QQQ,5153.000000,0.495868,0.100790,0.064601,0.005531,1.141252,0.436625,0.085550
rolling_252,QQQ,5039.000000,0.320434,0.108845,0.074987,0.013779,1.241475,0.487760,-0.046909
parkinson_21,QQQ,5181.000000,0.623979,0.090643,0.057002,-0.034830,0.884702,0.617126,0.257288
garch_11,IWM,4439.000000,0.637980,0.084420,0.055982,0.018184,1.182946,0.260489,0.331261
ewma_hl11,IWM,5160.000000,0.688462,0.090574,0.056398,0.003060,1.079881,0.317023,0.404426
ewma_hl40,IWM,5160.000000,0.594816,0.098425,0.062092,0.010249,1.143819,0.344084,0.296703
rolling_63,IWM,5153.000000,0.593311,0.101871,0.063042,0.005805,1.110040,0.400557,0.247271
rolling_252,IWM,5039.000000,0.396871,0.116979,0.076811,0.015041,1.201896,0.418220,0.025986
parkinson_21,IWM,5181.000000,0.701750,0.089964,0.054045,-0.031911,0.906840,0.449024,0.411016
garch_11,EFA,4439.000000,0.604860,0.083836,0.055199,0.024033,1.270335,0.314903,0.203142
ewma_hl11,EFA,5160.000000,0.685385,0.091591,0.053588,0.003423,1.104100,0.373042,0.396488
ewma_hl40,EFA,5160.000000,0.599077,0.099073,0.059454,0.011166,1.184066,0.442061,0.293861
rolling_63,EFA,5153.000000,0.588694,0.103375,0.059335,0.006216,1.137912,0.474241,0.231956
rolling_252,EFA,5039.000000,0.418605,0.116856,0.073153,0.016010,1.256746,0.581316,0.036361
parkinson_21,EFA,5181.000000,0.671595,0.109099,0.071206,-0.065089,0.684336,1.710220,0.141504
garch_11,EEM,4439.000000,0.616861,0.088246,0.063376,0.031986,1.257666,0.242038,0.224595
ewma_hl11,EEM,5160.000000,0.730532,0.113547,0.066396,0.004110,1.088259,0.294306,0.479329
ewma_hl40,EEM,5160.000000,0.628123,0.128412,0.075863,0.013582,1.161647,0.342872,0.334073
rolling_63,EEM,5153.000000,0.616663,0.134101,0.075444,0.007317,1.119479,0.356777,0.274709
rolling_252,EEM,5039.000000,0.450149,0.153152,0.092474,0.019897,1.228726,0.463971,0.060183
parkinson_21,EEM,5181.000000,0.750931,0.135049,0.091190,-0.084549,0.667755,1.388406,0.260651
ewma_hl11,SHY,5160.000000,0.762837,0.005498,0.003425,0.000168,1.089467,0.285223,0.540796
ewma_hl40,SHY,5160.000000,0.763120,0.005359,0.003579,0.000521,1.177952,0.285788,0.563846
garch_11,SHY,4439.000000,0.727023,0.005342,0.003394,0.000794,1.185420,0.286088,0.465467
rolling_63,SHY,5153.000000,0.756136,0.005497,0.003521,0.000221,1.111553,0.306261,0.541595
rolling_252,SHY,5039.000000,0.681773,0.006176,0.004293,0.000540,1.247018,0.416492,0.433219
parkinson_21,SHY,5181.000000,0.645733,0.007000,0.004388,-0.002748,0.853649,0.814860,0.253171
garch_11,IEF,4439.000000,0.625282,0.020218,0.014246,0.003575,1.125708,0.162220,0.335214
ewma_hl40,IEF,5160.000000,0.651470,0.019873,0.013911,0.001662,1.093155,0.167499,0.394812
ewma_hl11,IEF,5160.000000,0.666150,0.020306,0.013874,0.000559,1.056276,0.174013,0.368132
rolling_63,IEF,5153.000000,0.650404,0.020393,0.013942,0.000989,1.070654,0.175522,0.363237
rolling_252,IEF,5039.000000,0.524452,0.022670,0.016740,0.002086,1.121844,0.225579,0.218404
parkinson_21,IEF,5181.000000,0.598611,0.029191,0.022575,-0.020444,0.705616,0.916278,-0.305063
garch_11,TLT,4439.000000,0.538504,0.049566,0.030478,0.006061,1.097373,0.179938,0.191124
ewma_hl40,TLT,5160.000000,0.561326,0.048507,0.030379,0.003873,1.084684,0.185179,0.253015
ewma_hl11,TLT,5160.000000,0.606258,0.048481,0.029367,0.001174,1.049914,0.187093,0.253813
rolling_63,TLT,5153.000000,0.557911,0.050292,0.030177,0.002299,1.064868,0.194405,0.196870
rolling_252,TLT,5039.000000,0.407601,0.054218,0.037047,0.005111,1.113471,0.246519,0.061431
parkinson_21,TLT,5181.000000,0.550186,0.064052,0.046579,-0.042569,0.718116,0.845156,-0.300183
garch_11,AGG,4439.000000,0.490352,0.021875,0.011397,0.002094,1.161516,0.389694,0.165433
ewma_hl11,AGG,5160.000000,0.542100,0.028643,0.012457,0.000835,1.087192,0.449521,0.119779
ewma_hl40,AGG,5160.000000,0.478992,0.029201,0.013639,0.002863,1.174970,0.485848,0.085176
rolling_63,AGG,5153.000000,0.472747,0.030432,0.012937,0.001373,1.115762,0.517614,0.007707
rolling_252,AGG,5039.000000,0.358713,0.031951,0.016760,0.003802,1.237279,0.615240,-0.073002
parkinson_21,AGG,5181.000000,0.528510,0.029157,0.015341,-0.009459,0.834255,1.136981,0.084608
