feature,horizon,mean_ic,std_ic,ic_ir,t_stat_overlap_adjusted,p_value,hit_rate,ts_ic_mean,ts_ic_share_positive,n_obs,n_independent,median_ic,t_stat_naive,ic_skew,breadth_per_year,implied_information_ratio,n_assets_evaluated,p_rank,bh_threshold,significant_raw,significant_bh
ranked_252,1,0.045846,0.483453,0.094830,4.512131,0.000006,0.536661,0.016055,0.533333,2264,2264.000000,0.057143,4.512131,-0.140562,3780.000000,2.818664,15,1,0.001389,True,True
raw_252,1,0.045846,0.483453,0.094830,4.512131,0.000006,0.536661,0.008015,0.466667,2264,2264.000000,0.057143,4.512131,-0.140562,3780.000000,2.818664,15,2,0.002778,True,True
raw_126,1,0.033808,0.478062,0.070720,3.457323,0.000546,0.527197,0.010376,0.666667,2390,2390.000000,0.050000,3.457323,-0.110865,3780.000000,2.078603,15,3,0.004167,True,True
ranked_126,1,0.033808,0.478062,0.070720,3.457323,0.000546,0.527197,0.013048,0.666667,2390,2390.000000,0.050000,3.457323,-0.110865,3780.000000,2.078603,15,4,0.005556,True,True
raw_252,5,0.072323,0.483852,0.149474,3.180664,0.001469,0.568021,0.005643,0.333333,2264,452.800000,0.107418,7.112180,-0.223338,756.000000,1.988556,15,5,0.006944,True,True
ranked_252,5,0.072323,0.483852,0.149474,3.180664,0.001469,0.568021,0.026778,0.666667,2264,452.800000,0.107418,7.112180,-0.223338,756.000000,1.988556,15,6,0.008333,True,True
ranked_63,1,0.026231,0.470197,0.055787,2.761314,0.005757,0.529388,0.005193,0.733333,2450,2450.000000,0.046429,2.761314,-0.095251,3780.000000,1.612719,15,7,0.009722,True,True
raw_63,1,0.026231,0.470197,0.055787,2.761314,0.005757,0.529388,0.000418,0.400000,2450,2450.000000,0.046429,2.761314,-0.095251,3780.000000,1.612719,15,8,0.011111,True,True
raw_252,10,0.087167,0.480539,0.181395,2.729379,0.006345,0.587014,0.006465,0.333333,2264,226.400000,0.133104,8.631056,-0.251808,378.000000,1.694728,15,9,0.012500,True,True
ranked_252,10,0.087167,0.480539,0.181395,2.729379,0.006345,0.587014,0.031822,0.533333,2264,226.400000,0.133104,8.631056,-0.251808,378.000000,1.694728,15,10,0.013889,True,True
ranked_252,21,0.102828,0.491476,0.209223,2.172396,0.029826,0.591431,0.033120,0.466667,2264,107.809524,0.148352,9.955168,-0.258339,180.000000,1.379588,15,11,0.015278,True,False
raw_252,21,0.102828,0.491476,0.209223,2.172396,0.029826,0.591431,-0.002646,0.333333,2264,107.809524,0.148352,9.955168,-0.258339,180.000000,1.379588,15,12,0.016667,True,False
raw_126,5,0.046906,0.477794,0.098171,2.146340,0.031846,0.546862,0.006321,0.466667,2390,478.000000,0.060714,4.799362,-0.155770,756.000000,1.289692,15,13,0.018056,True,False
