feature,horizon,mean_ic,std_ic,ic_ir,t_stat_overlap_adjusted,p_value,hit_rate,ts_ic_mean,ts_ic_share_positive,n_obs,n_independent,median_ic,t_stat_naive,ic_skew,breadth_per_year,implied_information_ratio,n_assets_evaluated
ranked_126,1,0.025333,0.456453,0.055499,3.956781,0.000076,0.522526,0.007035,0.600000,5083,5083.000000,0.035714,3.956781,-0.080989,3780.000000,1.557487,15
ranked_126,5,0.029530,0.458205,0.064447,2.054036,0.039972,0.527269,0.007836,0.666667,5079,1015.800000,0.035714,4.592965,-0.084730,756.000000,0.811942,15
ranked_126,10,0.025086,0.451859,0.055518,1.250580,0.211088,0.527395,0.008780,0.733333,5074,507.400000,0.035714,3.954682,-0.088075,378.000000,0.487736,15
ranked_126,21,0.036188,0.443504,0.081595,1.266940,0.205177,0.542761,0.007006,0.733333,5063,241.095238,0.057143,5.805850,-0.147080,180.000000,0.485508,15
ranked_126,42,0.045744,0.448757,0.101934,1.116853,0.264057,0.540658,0.009499,0.733333,5042,120.047619,0.057143,7.238032,-0.112229,90.000000,0.433962,15
ranked_126,63,0.051390,0.433944,0.118425,1.057229,0.290407,0.555467,0.004483,0.666667,5021,79.698413,0.064286,8.391493,-0.117536,60.000000,0.398064,15
ranked_21,1,0.002486,0.455100,0.005463,0.393520,0.693935,0.506361,-0.003922,0.333333,5188,5188.000000,0.012637,0.393520,-0.072081,3780.000000,0.152869,15
ranked_21,5,-0.001284,0.448482,-0.002863,-0.092192,0.926546,0.509838,-0.009837,0.466667,5184,1036.800000,0.014835,-0.206147,-0.078301,756.000000,-0.035306,15
ranked_21,10,0.002529,0.439674,0.005751,0.130885,0.895866,0.511682,-0.005885,0.466667,5179,517.900000,0.014286,0.413896,-0.100739,378.000000,0.049164,15
ranked_21,21,0.010749,0.448925,0.023943,0.375603,0.707212,0.515480,-0.004001,0.533333,5168,246.095238,0.025000,1.721227,-0.080881,180.000000,0.144207,15
