,alpha,beta,se_beta,t_beta,p_beta,r_squared,n_obs,hac_lags
SPY,0.013238,-0.004939,0.003918,-1.260837,0.207368,0.005646,5063.000000,20.000000
QQQ,0.019900,-0.008371,0.004283,-1.954540,0.050637,0.011569,5063.000000,20.000000
IWM,0.012027,-0.007645,0.005042,-1.516277,0.129449,0.006278,5063.000000,20.000000
EFA,0.005850,0.000528,0.004043,0.130558,0.896125,0.000051,5063.000000,20.000000
EEM,0.006418,0.002177,0.004672,0.466026,0.641197,0.000551,5063.000000,20.000000
SHY,0.000843,0.001064,0.000298,3.569859,0.000357,0.053430,5063.000000,20.000000
IEF,0.002812,0.000292,0.001369,0.213420,0.830999,0.000117,5063.000000,20.000000
TLT,0.003287,-0.000068,0.003310,-0.020418,0.983710,0.000001,5063.000000,20.000000
AGG,0.002283,0.000727,0.001040,0.699467,0.484260,0.001713,5063.000000,20.000000
LQD,0.003427,0.000525,0.001619,0.323971,0.745960,0.000301,5063.000000,20.000000
HYG,0.005187,-0.001149,0.002601,-0.441617,0.658767,0.000814,4745.000000,20.000000
GLD,0.007795,0.003508,0.003714,0.944394,0.344968,0.002385,5063.000000,20.000000
SLV,0.010124,0.004372,0.009340,0.468044,0.639753,0.001098,4983.000000,20.000000
DBC,0.002381,0.008722,0.004062,2.147222,0.031776,0.014618,5040.000000,20.000000
VNQ,0.009572,-0.005900,0.005218,-1.130622,0.258214,0.003343,5063.000000,20.000000
