feature,horizon,mean_ic,std_ic,ic_ir,t_stat_overlap_adjusted,p_value,hit_rate,ts_ic_mean,ts_ic_share_positive,n_obs,n_independent,median_ic,t_stat_naive,ic_skew,breadth_per_year,implied_information_ratio,n_assets_evaluated
reversal_10,1,-0.010052,0.468697,-0.021447,-1.061594,0.288420,0.495918,-0.021816,0.266667,2450,2450.000000,-0.007143,-1.061594,-0.014090,3780.000000,-0.618036,15
reversal_10,5,0.012607,0.461497,0.027318,0.604717,0.545367,0.513469,-0.004663,0.333333,2450,490.000000,0.018819,1.352189,-0.060610,756.000000,0.346644,15
reversal_10,10,0.031387,0.458847,0.068403,1.070680,0.284313,0.538776,0.008395,0.533333,2450,245.000000,0.050000,3.385787,-0.141353,378.000000,0.610226,15
reversal_10,21,0.009176,0.464159,0.019769,0.213532,0.830912,0.520000,-0.014841,0.333333,2450,116.666667,0.028571,0.978525,-0.071505,180.000000,0.123110,15
reversal_10,42,0.017320,0.472900,0.036625,0.279731,0.779684,0.515510,0.010021,0.533333,2450,58.333333,0.026786,1.812865,-0.058116,90.000000,0.164313,15
reversal_10,63,0.027834,0.454165,0.061287,0.382193,0.702318,0.536735,0.016110,0.533333,2450,38.888889,0.042857,3.033561,-0.103905,60.000000,0.215605,15
reversal_21,1,0.000679,0.469386,0.001447,0.071613,0.942910,0.506531,-0.015834,0.333333,2450,2450.000000,0.008040,0.071613,-0.056056,3780.000000,0.041753,15
reversal_21,5,0.011664,0.466655,0.024994,0.553270,0.580079,0.524898,-0.020190,0.133333,2450,490.000000,0.038324,1.237149,-0.114459,756.000000,0.320698,15
reversal_21,10,0.012007,0.453722,0.026463,0.414219,0.678714,0.535918,-0.013995,0.266667,2450,245.000000,0.042308,1.309876,-0.179674,378.000000,0.233444,15
reversal_21,21,0.001410,0.465056,0.003032,0.032750,0.973874,0.521633,-0.026677,0.266667,2450,116.666667,0.028571,0.150078,-0.080863,180.000000,0.018918,15
reversal_21,42,0.002295,0.473283,0.004849,0.037036,0.970456,0.495102,-0.005676,0.266667,2450,58.333333,-0.007143,0.240021,0.031816,90.000000,0.021772,15
reversal_21,63,0.032351,0.459922,0.070339,0.438643,0.660920,0.520000,0.028977,0.533333,2450,38.888889,0.032555,3.481621,-0.014083,60.000000,0.250587,15
reversal_5,1,-0.027321,0.468490,-0.058317,-2.886560,0.003895,0.469796,-0.038718,0.133333,2450,2450.000000,-0.046429,-2.886560,0.050560,3780.000000,-1.679746,15
reversal_5,5,-0.018577,0.469013,-0.039608,-0.876755,0.380620,0.478776,-0.046206,0.333333,2450,490.000000,-0.021429,-1.960484,0.024549,756.000000,-0.510771,15
reversal_5,10,0.016838,0.465993,0.036134,0.565586,0.571675,0.513878,-0.007770,0.333333,2450,245.000000,0.021429,1.788541,-0.072022,378.000000,0.327372,15
reversal_5,21,0.003900,0.466146,0.008366,0.090363,0.927999,0.505306,-0.017433,0.200000,2450,116.666667,0.008929,0.414093,-0.042304,180.000000,0.052321,15
reversal_5,42,0.008009,0.471847,0.016974,0.129644,0.896848,0.517143,0.000832,0.266667,2450,58.333333,0.025000,0.840188,-0.060723,90.000000,0.075983,15
reversal_5,63,0.014272,0.462570,0.030853,0.192401,0.847428,0.526939,-0.002593,0.200000,2450,38.888889,0.042857,1.527136,-0.097050,60.000000,0.110547,15
reversal_63,1,0.023400,0.465670,0.050250,2.487264,0.012873,0.524898,-0.004612,0.333333,2450,2450.000000,0.042857,2.487264,-0.085734,3780.000000,1.438677,15
reversal_63,5,0.034021,0.467504,0.072773,1.610890,0.107204,0.529796,-0.005151,0.200000,2450,490.000000,0.050000,3.602060,-0.083925,756.000000,0.935436,15
reversal_63,10,0.037340,0.460166,0.081145,1.270125,0.204040,0.539592,0.007177,0.400000,2450,245.000000,0.057143,4.016489,-0.088859,378.000000,0.725979,15
reversal_63,21,0.057624,0.468232,0.123066,1.329267,0.183760,0.565306,0.029415,0.466667,2450,116.666667,0.107143,6.091468,-0.220335,180.000000,0.773101,15
reversal_63,42,0.049050,0.454430,0.107939,0.824394,0.409716,0.549796,0.048086,0.600000,2450,58.333333,0.060714,5.342685,-0.134347,90.000000,0.465334,15
reversal_63,63,0.060148,0.470266,0.127902,0.797612,0.425096,0.544490,0.059284,0.666667,2450,38.888889,0.071429,6.330849,-0.137496,60.000000,0.465906,15
zscore_10,1,-0.026502,0.433910,-0.061078,-3.023223,0.002501,0.464898,-0.039789,0.200000,2450,2450.000000,-0.042857,-3.023223,0.059207,3780.000000,-1.629418,15
zscore_10,5,-0.005800,0.439188,-0.013206,-0.292319,0.770043,0.502857,-0.038908,0.266667,2450,490.000000,0.003571,-0.653645,-0.014637,756.000000,-0.159467,15
zscore_10,10,0.020589,0.442006,0.046580,0.729098,0.465942,0.524490,-0.011972,0.400000,2450,245.000000,0.032143,2.305611,-0.078429,378.000000,0.400292,15
zscore_10,21,0.000428,0.439464,0.000973,0.010514,0.991611,0.515510,-0.028208,0.200000,2450,116.666667,0.028571,0.048182,-0.079676,180.000000,0.005739,15
zscore_10,42,-0.004511,0.445922,-0.010117,-0.077271,0.938408,0.500408,-0.008721,0.333333,2450,58.333333,0.003571,-0.500771,-0.040268,90.000000,-0.042799,15
zscore_10,63,0.003179,0.441179,0.007205,0.044930,0.964163,0.517143,-0.005944,0.400000,2450,38.888889,0.024176,0.356622,-0.085578,60.000000,0.024622,15
zscore_21,1,-0.013067,0.431933,-0.030252,-1.497413,0.134286,0.483265,-0.025707,0.200000,2450,2450.000000,-0.025000,-1.497413,0.016382,3780.000000,-0.803380,15
zscore_21,5,0.008905,0.433869,0.020525,0.454348,0.649578,0.505714,-0.021813,0.266667,2450,490.000000,0.007143,1.015953,-0.032288,756.000000,0.244856,15
zscore_21,10,0.022365,0.430351,0.051969,0.813443,0.415964,0.528163,-0.007026,0.333333,2450,245.000000,0.039286,2.572332,-0.112507,378.000000,0.434823,15
zscore_21,21,-0.010425,0.431454,-0.024161,-0.260973,0.794113,0.500408,-0.039123,0.133333,2450,116.666667,0.002885,-1.195928,-0.053007,180.000000,-0.139860,15
zscore_21,42,-0.018835,0.451796,-0.041689,-0.318404,0.750179,0.486531,-0.013259,0.400000,2450,58.333333,-0.021429,-2.063492,0.002995,90.000000,-0.178683,15
zscore_21,63,0.003957,0.440168,0.008990,0.056062,0.955293,0.511837,0.000558,0.400000,2450,38.888889,0.017857,0.444976,-0.067966,60.000000,0.030651,15
zscore_5,1,-0.032736,0.435939,-0.075094,-3.716956,0.000202,0.464082,-0.043180,0.066667,2450,2450.000000,-0.043956,-3.716956,0.070163,3780.000000,-2.012685,15
zscore_5,5,-0.016521,0.436995,-0.037807,-0.836885,0.402657,0.493469,-0.047028,0.266667,2450,490.000000,-0.014286,-1.871332,0.010162,756.000000,-0.454261,15
zscore_5,10,0.000897,0.434744,0.002063,0.032286,0.974244,0.503265,-0.017565,0.400000,2450,245.000000,0.007143,0.102096,-0.007008,378.000000,0.017434,15
zscore_5,21,-0.005842,0.442135,-0.013212,-0.142710,0.886519,0.497551,-0.021284,0.200000,2450,116.666667,-0.003571,-0.653980,-0.045772,180.000000,-0.078374,15
zscore_5,42,-0.003885,0.446666,-0.008697,-0.066426,0.947039,0.496735,-0.010153,0.266667,2450,58.333333,-0.003571,-0.430488,-0.014764,90.000000,-0.036854,15
zscore_5,63,0.002533,0.438626,0.005776,0.036017,0.971269,0.508163,-0.008454,0.266667,2450,38.888889,0.007143,0.285874,-0.043830,60.000000,0.019623,15
zscore_63,1,-0.004740,0.446147,-0.010624,-0.525838,0.599001,0.504898,-0.019004,0.200000,2450,2450.000000,0.010714,-0.525838,-0.075797,3780.000000,-0.291402,15
zscore_63,5,-0.000063,0.447890,-0.000141,-0.003114,0.997516,0.514286,-0.023508,0.200000,2450,490.000000,0.017857,-0.006963,-0.050856,756.000000,-0.001732,15
zscore_63,10,-0.000865,0.435544,-0.001985,-0.031078,0.975207,0.505714,-0.022239,0.266667,2450,245.000000,0.008929,-0.098277,-0.049086,378.000000,-0.016813,15
zscore_63,21,-0.006226,0.446318,-0.013949,-0.150670,0.880236,0.517143,-0.040372,0.266667,2450,116.666667,0.025000,-0.690456,-0.060021,180.000000,-0.083528,15
zscore_63,42,-0.006600,0.461818,-0.014291,-0.109147,0.913086,0.497143,-0.016513,0.266667,2450,58.333333,-0.003571,-0.707351,0.033588,90.000000,-0.062610,15
zscore_63,63,0.019754,0.456602,0.043263,0.269794,0.787319,0.515510,0.005185,0.333333,2450,38.888889,0.025000,2.141421,-0.072880,60.000000,0.153015,15
zscore_ranked_10,1,-0.026502,0.433910,-0.061078,-3.023223,0.002501,0.464898,-0.037993,0.200000,2450,2450.000000,-0.042857,-3.023223,0.059207,3780.000000,-1.629418,15
