feature,horizon,mean_ic,std_ic,ic_ir,t_stat_overlap_adjusted,p_value,hit_rate,ts_ic_mean,ts_ic_share_positive,n_obs,n_independent,median_ic,t_stat_naive,ic_skew,breadth_per_year,implied_information_ratio,n_assets_evaluated
reversal_10,1,-0.013315,0.449702,-0.029608,-2.135082,0.032754,0.490769,-0.016577,0.400000,5200,5200.000000,-0.010714,-2.135082,-0.007205,3780.000000,-0.818622,15
reversal_10,5,-0.002870,0.446810,-0.006423,-0.207057,0.835966,0.496728,-0.004008,0.533333,5196,1039.200000,-0.003571,-0.462993,-0.025889,756.000000,-0.078908,15
reversal_10,10,0.007266,0.443318,0.016391,0.373445,0.708817,0.516278,0.003268,0.400000,5191,519.100000,0.021429,1.180936,-0.087320,378.000000,0.141274,15
reversal_10,21,0.002374,0.452945,0.005242,0.082329,0.934385,0.513900,-0.006671,0.400000,5180,246.666667,0.021429,0.377279,-0.062279,180.000000,0.031855,15
reversal_10,42,0.014994,0.456898,0.032817,0.363707,0.716077,0.517736,0.014710,0.466667,5159,122.833333,0.025000,2.357091,-0.068358,90.000000,0.142244,15
reversal_10,63,0.026169,0.442878,0.059089,0.533625,0.593601,0.533281,0.013189,0.466667,5138,81.555556,0.039286,4.235516,-0.113502,60.000000,0.202707,15
reversal_21,1,-0.004741,0.452127,-0.010486,-0.755368,0.450028,0.498169,-0.008864,0.333333,5189,5189.000000,0.000000,-0.755368,-0.037049,3780.000000,-0.291490,15
reversal_21,5,-0.002046,0.445374,-0.004593,-0.147906,0.882417,0.507811,-0.013801,0.266667,5185,1037.000000,0.010714,-0.330728,-0.082390,756.000000,-0.056245,15
reversal_21,10,0.001615,0.437129,0.003696,0.084109,0.932970,0.515058,-0.008240,0.400000,5180,518.000000,0.017857,0.265976,-0.104330,378.000000,0.031407,15
reversal_21,21,0.010158,0.449238,0.022611,0.354745,0.722780,0.515187,-0.009776,0.400000,5169,246.142857,0.021429,1.625647,-0.072037,180.000000,0.136281,15
reversal_21,42,0.015418,0.459625,0.033545,0.371388,0.710348,0.512626,0.008393,0.400000,5148,122.571429,0.021429,2.406871,-0.043992,90.000000,0.146271,15
reversal_21,63,0.032293,0.447665,0.072137,0.650760,0.515201,0.526819,0.020717,0.533333,5127,81.380952,0.042857,5.165250,-0.093899,60.000000,0.250143,15
reversal_5,1,-0.018587,0.452920,-0.041037,-2.960678,0.003070,0.483958,-0.028764,0.200000,5205,5205.000000,-0.021429,-2.960678,0.010405,3780.000000,-1.142742,15
reversal_5,5,-0.019869,0.451127,-0.044044,-1.420506,0.155461,0.482023,-0.035655,0.200000,5201,1040.200000,-0.021429,-3.176347,0.014427,756.000000,-0.546317,15
reversal_5,10,-0.002151,0.450591,-0.004774,-0.108826,0.913341,0.495766,-0.007152,0.533333,5196,519.600000,-0.003571,-0.344137,-0.037060,378.000000,-0.041824,15
reversal_5,21,-0.004861,0.453633,-0.010716,-0.168377,0.866287,0.503761,-0.014615,0.266667,5185,246.904762,0.007143,-0.771600,-0.051047,180.000000,-0.065217,15
reversal_5,42,0.008755,0.456615,0.019175,0.212615,0.831627,0.511813,0.004572,0.533333,5164,122.952381,0.017170,1.377905,-0.050204,90.000000,0.083061,15
reversal_5,63,0.015285,0.444333,0.034401,0.310817,0.755940,0.527124,-0.000328,0.400000,5143,81.634921,0.035714,2.467035,-0.090701,60.000000,0.118400,15
reversal_63,1,0.017418,0.449584,0.038742,2.779453,0.005445,0.516806,0.000436,0.466667,5147,5147.000000,0.025000,2.779453,-0.059374,3780.000000,1.070876,15
reversal_63,5,0.022129,0.448875,0.049299,1.581104,0.113854,0.522652,-0.004022,0.466667,5143,1028.600000,0.032143,3.535456,-0.052885,756.000000,0.608448,15
reversal_63,10,0.018253,0.441530,0.041340,0.937051,0.348732,0.520047,-0.003428,0.400000,5138,513.800000,0.024588,2.963215,-0.037534,378.000000,0.354872,15
reversal_63,21,0.029575,0.452703,0.065330,1.020784,0.307357,0.533450,0.008929,0.533333,5127,244.142857,0.042857,4.677821,-0.112868,180.000000,0.396791,15
reversal_63,42,0.023218,0.448094,0.051816,0.571319,0.567783,0.524677,0.014470,0.600000,5106,121.571429,0.032143,3.702571,-0.097570,90.000000,0.220269,15
reversal_63,63,0.041860,0.456570,0.091685,0.823706,0.410106,0.538643,0.027973,0.533333,5085,80.714286,0.057143,6.537966,-0.105075,60.000000,0.324250,15
zscore_10,1,-0.026486,0.421102,-0.062898,-4.538225,0.000006,0.472724,-0.028987,0.200000,5206,5206.000000,-0.032143,-4.538225,0.035963,3780.000000,-1.628424,15
zscore_10,5,-0.022617,0.429048,-0.052715,-1.700338,0.089067,0.479623,-0.032535,0.200000,5202,1040.400000,-0.028571,-3.802070,0.020650,756.000000,-0.621874,15
zscore_10,10,-0.010052,0.428020,-0.023485,-0.535390,0.592380,0.491245,-0.014521,0.466667,5197,519.700000,-0.007143,-1.693053,0.007673,378.000000,-0.195436,15
zscore_10,21,-0.014344,0.425842,-0.033685,-0.529347,0.596565,0.490359,-0.025304,0.200000,5186,246.952381,-0.010714,-2.425772,-0.023276,180.000000,-0.192450,15
zscore_10,42,-0.007942,0.430960,-0.018428,-0.204355,0.838076,0.491772,-0.005627,0.533333,5165,122.976190,-0.007143,-1.324375,-0.003309,90.000000,-0.075341,15
zscore_10,63,-0.001083,0.424001,-0.002554,-0.023079,0.981587,0.504860,-0.006928,0.466667,5144,81.650794,0.007143,-0.183182,-0.053381,60.000000,-0.008388,15
zscore_21,1,-0.020570,0.420378,-0.048932,-3.528862,0.000417,0.478562,-0.021403,0.266667,5201,5201.000000,-0.025000,-3.528862,0.026716,3780.000000,-1.264670,15
zscore_21,5,-0.017628,0.423349,-0.041640,-1.342452,0.179449,0.478738,-0.023167,0.400000,5197,1039.400000,-0.025000,-3.001814,0.017969,756.000000,-0.484693,15
zscore_21,10,-0.010931,0.420338,-0.026006,-0.592561,0.553475,0.490755,-0.015022,0.400000,5192,519.200000,-0.007143,-1.873842,-0.023752,378.000000,-0.212525,15
zscore_21,21,-0.014017,0.419488,-0.033416,-0.524862,0.599679,0.496622,-0.030376,0.333333,5181,246.714286,0.000000,-2.405221,-0.042273,180.000000,-0.188063,15
zscore_21,42,-0.009972,0.435158,-0.022915,-0.253992,0.799502,0.490891,-0.007244,0.466667,5160,122.857143,-0.014286,-1.646055,-0.018689,90.000000,-0.094599,15
zscore_21,63,0.004832,0.427045,0.011315,0.102192,0.918605,0.514302,-0.002223,0.533333,5139,81.571429,0.017857,0.811120,-0.072692,60.000000,0.037428,15
zscore_5,1,-0.027901,0.417990,-0.066752,-4.816296,0.000001,0.470227,-0.032137,0.133333,5206,5206.000000,-0.032143,-4.816296,0.043041,3780.000000,-1.715429,15
zscore_5,5,-0.025946,0.422684,-0.061384,-1.979954,0.047709,0.480392,-0.037673,0.200000,5202,1040.400000,-0.025000,-4.427313,0.046108,756.000000,-0.713397,15
