,alpha,beta,se_beta,t_beta,p_beta,r_squared,n_obs,hac_lags
SPY,0.002809,-0.001055,0.000565,-1.866389,0.061987,0.003011,5197.000000,9.000000
QQQ,0.003658,-0.000971,0.000601,-1.615108,0.106287,0.001892,5197.000000,9.000000
IWM,0.002337,-0.000882,0.000733,-1.203290,0.228864,0.001234,5197.000000,9.000000
EFA,0.001698,-0.000902,0.000580,-1.555137,0.119913,0.001803,5197.000000,9.000000
EEM,0.001947,-0.001362,0.000660,-2.061964,0.039211,0.002575,5197.000000,9.000000
SHY,0.000362,0.000056,0.000042,1.340505,0.180081,0.001315,5197.000000,9.000000
IEF,0.000638,0.000025,0.000179,0.139687,0.888907,0.000013,5197.000000,9.000000
TLT,0.000712,-0.000151,0.000373,-0.405753,0.684924,0.000102,5197.000000,9.000000
AGG,0.000618,-0.000055,0.000141,-0.388440,0.697690,0.000109,5197.000000,9.000000
LQD,0.000812,0.000075,0.000235,0.319693,0.749201,0.000069,5197.000000,9.000000
HYG,0.001030,0.000054,0.000356,0.152161,0.879060,0.000022,4879.000000,9.000000
GLD,0.002213,0.000077,0.000506,0.153007,0.878393,0.000015,5197.000000,9.000000
SLV,0.002501,0.000525,0.000957,0.548130,0.583602,0.000216,5117.000000,9.000000
DBC,0.000836,0.000905,0.000570,1.587845,0.112321,0.001920,5174.000000,9.000000
VNQ,0.002086,-0.001043,0.000746,-1.397649,0.162218,0.001443,5197.000000,9.000000
