signal,horizon,n_obs,n_independent,mean_ic,median_ic,std_ic,ic_ir,t_stat_naive,t_stat_overlap_adjusted,p_value,hit_rate,ic_skew,breadth_per_year,implied_information_ratio
momentum_126_vol_scaled,1,5083.000000,5083.000000,0.004085,0.007143,0.422500,0.009668,0.689314,0.689314,0.490625,0.502066,-0.032835,3780.000000,0.251148
momentum_126_vol_scaled,5,5079.000000,1015.800000,0.003420,0.006593,0.425899,0.008029,0.572205,0.255898,0.798030,0.503642,-0.047170,756.000000,0.094022
momentum_126_vol_scaled,10,5074.000000,507.400000,-0.003945,0.003571,0.424457,-0.009295,-0.662077,-0.209367,0.834162,0.501774,-0.041471,378.000000,-0.076703
momentum_126_vol_scaled,21,5063.000000,241.095238,-0.002888,0.007143,0.424553,-0.006802,-0.484019,-0.105622,0.915883,0.505629,-0.067214,180.000000,-0.038746
momentum_126_vol_scaled,42,5042.000000,120.047619,-0.005053,0.005357,0.428715,-0.011787,-0.836960,-0.129146,0.897242,0.502777,-0.060815,90.000000,-0.047939
momentum_126_vol_scaled,63,5021.000000,79.698413,-0.005489,0.021429,0.423067,-0.012973,-0.919271,-0.115817,0.907797,0.516431,-0.105964,60.000000,-0.042514
momentum_252_raw,1,4957.000000,4957.000000,0.036416,0.042857,0.458420,0.079437,5.592834,5.592834,0.000000,0.525923,-0.099279,3780.000000,2.238888
momentum_252_raw,5,4953.000000,990.600000,0.051003,0.064286,0.456671,0.111685,7.860121,3.515153,0.000440,0.546941,-0.139555,756.000000,1.402361
momentum_252_raw,10,4948.000000,494.800000,0.056527,0.078571,0.452790,0.124842,8.781647,2.777000,0.005486,0.558407,-0.158436,378.000000,1.099016
momentum_252_raw,21,4937.000000,235.095238,0.060393,0.075000,0.459396,0.131462,9.237017,2.015682,0.043833,0.553170,-0.161519,180.000000,0.810258
momentum_252_raw,42,4916.000000,117.047619,0.059790,0.089286,0.459819,0.130030,9.116938,1.406774,0.159494,0.553906,-0.163621,90.000000,0.567220
momentum_252_raw,63,4895.000000,77.698413,0.061990,0.067857,0.455817,0.135997,9.514922,1.198768,0.230618,0.561389,-0.204830,60.000000,0.480170
reversion_5_zscore,1,5206.000000,5206.000000,0.027901,0.032143,0.417990,0.066752,4.816296,4.816296,0.000001,0.527852,-0.043041,3780.000000,1.715429
reversion_5_zscore,5,5202.000000,1040.400000,0.025946,0.025000,0.422684,0.061384,4.427313,1.979954,0.047709,0.517109,-0.046108,756.000000,0.713397
reversion_5_zscore,10,5197.000000,519.700000,0.016057,0.017857,0.419558,0.038271,2.758975,0.872465,0.382955,0.513758,-0.031282,378.000000,0.312183
reversion_5_zscore,21,5186.000000,246.952381,0.012878,0.007143,0.423621,0.030400,2.189249,0.477733,0.632840,0.505785,0.027435,180.000000,0.172780
reversion_5_zscore,42,5165.000000,122.976190,0.003856,0.003571,0.427454,0.009022,0.648389,0.100049,0.920306,0.503195,-0.008614,90.000000,0.036586
reversion_5_zscore,63,5144.000000,81.650794,-0.000142,-0.007143,0.419284,-0.000338,-0.024261,-0.003057,0.997561,0.495140,0.035329,60.000000,-0.001099
reversion_21_zscore,1,5201.000000,5201.000000,0.020570,0.025000,0.420378,0.048932,3.528862,3.528862,0.000417,0.518554,-0.026716,3780.000000,1.264670
reversion_21_zscore,5,5197.000000,1039.400000,0.017628,0.025000,0.423349,0.041640,3.001814,1.342452,0.179449,0.518761,-0.017969,756.000000,0.484693
reversion_21_zscore,10,5192.000000,519.200000,0.010931,0.007143,0.420338,0.026006,1.873842,0.592561,0.553475,0.505586,0.023752,378.000000,0.212525
reversion_21_zscore,21,5181.000000,246.714286,0.014017,0.000000,0.419488,0.033416,2.405221,0.524862,0.599679,0.499710,0.042273,180.000000,0.188063
reversion_21_zscore,42,5160.000000,122.857143,0.009972,0.014286,0.435158,0.022915,1.646055,0.253992,0.799502,0.507752,0.018689,90.000000,0.094599
reversion_21_zscore,63,5139.000000,81.571429,-0.004832,-0.017857,0.427045,-0.011315,-0.811120,-0.102192,0.918605,0.483946,0.072692,60.000000,-0.037428
