date,M3_momentum,M4_mean_reversion,M5_momentum_plus_mr
2006,-0.039732,-0.074058,-0.084713
2007,0.009017,-0.047600,-0.000092
2008,0.106481,-0.143906,-0.044768
2009,-0.035863,0.048401,-0.024303
2010,-0.023260,0.012708,-0.000859
2011,0.071191,0.007505,0.080952
2012,-0.030672,-0.035946,-0.065941
2013,0.149207,-0.010021,0.088523
2014,0.081275,-0.043721,0.021955
2015,-0.023441,0.043180,0.004004
2016,0.034784,0.062904,0.038629
2017,0.024295,0.001613,0.041793
2018,0.010203,-0.031707,-0.035082
2019,-0.007186,0.022233,0.043571
2020,0.045284,-0.035567,-0.031693
2021,0.077881,-0.030440,0.074487
2022,0.008860,-0.041134,0.028236
2023,-0.033560,-0.033841,-0.054817
2024,0.014249,-0.019915,0.008045
2025,-0.003131,-0.007462,0.009783
2026,-0.045097,-0.003014,-0.035678
