risk_aversion,expected_return,expected_volatility,sharpe,max_weight,effective_n
0.100000,0.385646,0.242408,1.590896,0.250000,4.545455
0.139905,0.385646,0.242408,1.590896,0.250000,4.545455
0.195734,0.385646,0.242408,1.590896,0.250000,4.545455
0.273842,0.385646,0.242408,1.590896,0.250000,4.545455
0.383119,0.385646,0.242408,1.590896,0.250000,4.545455
0.536002,0.385646,0.242408,1.590896,0.250000,4.545455
0.749894,0.385236,0.239826,1.606316,0.250000,4.545455
1.049140,0.385236,0.239826,1.606316,0.250000,4.545455
1.467799,0.385236,0.239826,1.606316,0.250000,4.545455
2.053525,0.378937,0.226070,1.676194,0.250000,4.628966
2.872985,0.362159,0.191598,1.890196,0.250000,4.545455
4.019450,0.362159,0.191598,1.890196,0.250000,4.545455
5.623413,0.362159,0.191598,1.890196,0.250000,4.545455
7.867438,0.328049,0.162465,2.019201,0.250000,4.588118
11.006942,0.287541,0.133085,2.160585,0.250000,5.175073
15.399265,0.239976,0.101730,2.358953,0.250000,5.546631
21.544347,0.208737,0.082585,2.527550,0.250000,4.925891
30.141625,0.183861,0.069675,2.638842,0.250000,4.859681
42.169650,0.164167,0.061207,2.682177,0.250000,4.724498
58.997463,0.130455,0.049228,2.649993,0.250000,4.921847
82.540419,0.098639,0.038695,2.549150,0.250000,4.562808
115.478198,0.081073,0.033768,2.400895,0.250000,4.685869
161.559810,0.065311,0.030103,2.169553,0.250000,4.703406
226.030303,0.054044,0.028047,1.926921,0.250000,4.603388
316.227766,0.047364,0.027111,1.747057,0.250000,4.528138
