,resampled,robust,minimum_variance
SPY,0.122797,0.143107,0.000000
QQQ,0.197204,0.225743,0.000000
IWM,0.021728,0.000000,0.000000
EFA,0.033892,0.000000,0.000000
EEM,0.234573,0.250000,0.000000
SHY,0.000000,0.000000,0.250000
IEF,0.000000,0.000000,0.185352
TLT,0.000000,0.000000,0.000000
AGG,0.000000,0.000000,0.250000
LQD,0.000000,0.000000,0.000000
HYG,0.000000,0.000000,0.250000
GLD,0.000000,0.000000,0.000000
SLV,0.139807,0.131150,0.000000
DBC,0.250000,0.250000,0.064648
VNQ,0.000000,0.000000,0.000000
