,omega,alpha,beta,persistence,half_life_days,long_run_vol_ann,integrated,loglikelihood,aic,bic,nu
SPY,1.9321704650265996e-06,0.14470671956639036,0.8509572508257937,0.995663970392184,159.5107509428345,0.33510188474771413,False,-5810.8865660964275,11631.773132192855,11664.564807866593,5.383095389417282
QQQ,2.7812181293061124e-06,0.12229395392412076,0.8705639846768708,0.9928579386009916,96.70442959612775,0.3132607666899529,False,-6370.925367848855,12751.85073569771,12784.642411371447,5.905357122411645
IWM,2.9253878217413327e-06,0.09127102348214536,0.8962897123601796,0.987560735842325,55.37522617865721,0.24344151926401414,False,-6420.2655472296665,12850.531094459333,12883.32277013307,9.365402458978705
EFA,2.066168755924908e-06,0.11173878953375188,0.879212472798963,0.9909512623327148,76.25443474594573,0.23987730808070246,False,-5999.315988721526,12008.631977443052,12041.42365311679,6.499588451916076
EEM,3.795703832573563e-06,0.09685816668766382,0.8885638246919836,0.9854219913796474,47.20003121420621,0.256151750562914,False,-6010.023890367196,12030.047780734392,12062.83945640813,8.387139842075499
SHY,1.0885258855956752e-09,0.06727428782531183,0.9327264077762989,1.0000006956016108,inf,,True,-5798.529592829544,11607.059185659087,11639.850861332825,6.521675640800499
IEF,1.248521728909856e-07,0.053789537744247155,0.9398617105543512,0.9936512482985983,108.83155740879062,0.07039699999070244,False,-6862.868073319447,13735.736146638894,13768.527822312632,12.745010417374543
TLT,5.382564077888204e-07,0.052554702091565625,0.941629145180258,0.9941838472718236,118.82932382693167,0.15271333924847796,False,-6858.375485623828,13726.750971247657,13759.542646921394,15.180371022444346
AGG,1.0942177168250109e-07,0.08841918543245586,0.8991461886563428,0.9875653740887986,55.39601153802833,0.04709076865207852,False,-5922.809140198994,11855.618280397988,11888.409956071726,9.028399548072223
LQD,3.093660746139334e-07,0.08263022620833442,0.9012771917670159,0.9839074179753503,42.72495459157912,0.06960232516603584,False,-5655.290197422346,11320.580394844692,11353.37207051843,8.223074333180225
HYG,2.774405222096298e-07,0.15254497213629084,0.8474550278670302,1.0000000000033211,inf,,True,-4336.388322591514,8682.776645183028,8715.253427667063,5.249122268919829
GLD,9.010269414312155e-07,0.04734735554840082,0.9471543011230946,0.9945016566714955,125.71784037473145,0.20321381614923764,False,-6660.649829587008,13331.299659174016,13364.091334847753,5.37625201736716
SLV,1.779712778979455e-06,0.040368520976662194,0.957082000301095,0.9974505212777572,271.53128072859704,0.41942038440374024,False,-6349.101711170319,12708.203422340637,12740.917727031461,4.659878221677163
DBC,9.430334651823357e-07,0.061450400496541775,0.9336747447154716,0.9951251452120135,141.84141654993977,0.22079182081212612,False,-6753.626313437782,13517.252626875565,13550.02218074732,8.354621654071279
VNQ,1.9550426298748926e-06,0.09862657404124166,0.8934839915446029,0.9921105655858445,87.51062055227605,0.2498937827114762,False,-5155.904477670788,10321.808955341576,10354.600631015313,8.352884872464328
