,shrinkage_intensity
2008-04-10,0.026137
2008-05-09,0.025364
2008-06-10,0.024851
2008-07-10,0.023681
2008-08-08,0.023219
2008-09-09,0.023844
2008-10-08,0.056564
2008-11-06,0.084224
2008-12-08,0.063500
2009-01-08,0.061147
2009-02-09,0.055513
2009-03-11,0.050011
2009-04-09,0.046756
2009-05-11,0.044032
2009-06-10,0.042666
2009-07-10,0.042746
2009-08-10,0.043132
2009-09-09,0.043202
2009-10-08,0.052391
2009-11-06,0.039561
2009-12-08,0.038970
2010-01-08,0.041178
2010-02-09,0.045659
2010-03-11,0.050399
2010-04-12,0.040929
2010-05-11,0.037308
2010-06-10,0.031458
2010-07-12,0.031147
2010-08-10,0.030605
2010-09-09,0.030152
2010-10-08,0.031110
2010-11-08,0.035632
2010-12-08,0.036970
2011-01-07,0.038437
2011-02-08,0.041868
2011-03-10,0.040631
2011-04-08,0.038929
2011-05-10,0.042858
2011-06-09,0.047797
2011-07-11,0.044340
2011-08-09,0.094408
2011-09-08,0.073363
2011-10-07,0.060917
2011-11-07,0.048245
2011-12-07,0.044208
2012-01-09,0.039221
2012-02-08,0.039383
2012-03-09,0.039800
2012-04-10,0.039858
2012-05-09,0.039078
2012-06-08,0.037600
2012-07-10,0.038013
2012-08-08,0.029864
2012-09-07,0.031493
2012-10-08,0.031742
2012-11-08,0.036379
2012-12-10,0.032715
2013-01-10,0.033915
2013-02-11,0.035731
2013-03-13,0.035767
2013-04-12,0.037029
2013-05-13,0.064909
2013-06-12,0.072521
2013-07-12,0.116130
2013-08-12,0.132055
2013-09-11,0.129567
2013-10-10,0.137829
2013-11-08,0.158183
2013-12-10,0.157342
2014-01-10,0.164149
2014-02-11,0.139955
2014-03-13,0.142953
2014-04-11,0.146635
2014-05-13,0.104876
2014-06-12,0.122456
2014-07-14,0.071121
2014-08-12,0.067549
2014-09-11,0.076873
2014-10-10,0.047461
2014-11-10,0.043946
2014-12-10,0.051226
2015-01-12,0.045269
2015-02-11,0.051661
2015-03-13,0.056463
2015-04-14,0.065902
2015-05-13,0.062724
2015-06-12,0.062431
2015-07-14,0.055070
2015-08-12,0.053899
2015-09-11,0.053669
2015-10-12,0.053300
2015-11-10,0.053415
2015-12-10,0.050604
2016-01-12,0.047934
2016-02-11,0.042603
2016-03-14,0.035545
2016-04-13,0.032409
2016-05-12,0.032110
2016-06-13,0.030746
2016-07-13,0.035983
2016-08-11,0.037879
2016-09-12,0.043756
2016-10-11,0.047853
2016-11-09,0.049221
2016-12-09,0.051966
2017-01-11,0.063267
2017-02-10,0.087693
2017-03-14,0.114676
2017-04-12,0.127390
2017-05-12,0.135414
2017-06-13,0.151243
2017-07-13,0.122380
2017-08-11,0.128714
2017-09-12,0.098584
2017-10-11,0.089924
2017-11-09,0.087368
2017-12-11,0.073079
2018-01-11,0.069374
2018-02-12,0.112657
2018-03-14,0.103906
2018-04-13,0.073472
2018-05-14,0.076195
2018-06-13,0.073974
2018-07-13,0.071871
2018-08-13,0.073415
2018-09-12,0.077673
2018-10-11,0.071893
2018-11-09,0.057301
2018-12-12,0.048583
2019-01-14,0.044432
2019-02-13,0.044109
2019-03-15,0.047247
2019-04-15,0.055084
2019-05-15,0.051511
2019-06-14,0.050072
2019-07-16,0.054645
2019-08-14,0.045205
2019-09-13,0.039996
2019-10-14,0.038339
2019-11-12,0.041904
2019-12-12,0.044893
2020-01-14,0.041460
2020-02-13,0.037506
2020-03-16,0.274505
2020-04-15,0.178474
2020-05-14,0.161719
2020-06-15,0.142065
2020-07-15,0.133982
2020-08-13,0.141135
2020-09-14,0.139772
2020-10-13,0.136556
2020-11-11,0.131590
2020-12-11,0.128008
2021-01-13,0.126305
2021-02-12,0.127911
2021-03-16,0.119901
2021-04-15,0.090112
2021-05-14,0.113306
2021-06-15,0.122592
2021-07-15,0.129335
2021-08-13,0.114958
2021-09-14,0.122552
2021-10-13,0.115018
2021-11-11,0.104176
2021-12-13,0.096908
2022-01-12,0.092462
2022-02-11,0.079449
2022-03-15,0.074424
2022-04-13,0.068055
2022-05-13,0.069658
2022-06-14,0.067047
2022-07-15,0.059275
2022-08-15,0.058110
2022-09-14,0.055546
2022-10-13,0.061256
2022-11-11,0.076742
2022-12-13,0.080678
2023-01-13,0.078767
2023-02-14,0.082395
2023-03-16,0.097160
2023-04-17,0.100331
2023-05-16,0.105762
2023-06-15,0.112384
2023-07-18,0.141739
2023-08-16,0.162622
2023-09-15,0.176882
2023-10-16,0.167059
2023-11-14,0.095492
2023-12-14,0.094025
2024-01-17,0.093443
2024-02-15,0.102488
2024-03-18,0.109117
2024-04-17,0.113834
2024-05-16,0.120554
2024-06-17,0.116688
2024-07-18,0.113728
2024-08-16,0.113777
2024-09-17,0.115370
2024-10-16,0.117460
2024-11-14,0.129213
2024-12-16,0.122385
2025-01-17,0.133967
2025-02-19,0.130556
2025-03-20,0.115391
2025-04-21,0.326378
2025-05-20,0.282576
2025-06-20,0.271346
2025-07-22,0.259824
2025-08-20,0.301559
2025-09-19,0.312860
2025-10-20,0.300679
2025-11-18,0.275730
2025-12-18,0.269874
2026-01-21,0.250319
2026-02-20,0.252576
2026-03-23,0.265694
2026-04-22,0.187596
2026-05-21,0.187709
2026-06-23,0.186853
2026-07-23,0.169037
2026-08-21,0.156582
