,weight,mean_return_in_tail,component_cvar,cvar_share,n_tail_days
SPY,0.066667,-0.025928,0.001729,0.102574,245
QQQ,0.066667,-0.026713,0.001781,0.105678,245
IWM,0.066667,-0.031116,0.002074,0.123098,245
EFA,0.066667,-0.028583,0.001906,0.113078,245
EEM,0.066667,-0.034609,0.002307,0.136914,245
SHY,0.066667,0.000206,-0.000014,-0.000813,245
IEF,0.066667,0.001137,-0.000076,-0.004499,245
TLT,0.066667,0.002844,-0.000190,-0.011250,245
AGG,0.066667,-0.001370,0.000091,0.005419,245
LQD,0.066667,-0.004425,0.000295,0.017504,245
HYG,0.066667,-0.011482,0.000765,0.045422,245
GLD,0.066667,-0.011084,0.000739,0.043848,245
SLV,0.066667,-0.029699,0.001980,0.117491,245
DBC,0.066667,-0.017482,0.001165,0.069161,245
VNQ,0.066667,-0.034473,0.002298,0.136375,245
