,weight,marginal_var,component_var,var_share
SPY,0.066667,0.154907,0.010327,0.057175
QQQ,0.066667,0.232159,0.015477,0.085688
IWM,0.066667,0.218901,0.014593,0.080795
EFA,0.066667,0.203945,0.013596,0.075275
EEM,0.066667,0.321045,0.021403,0.118496
SHY,0.066667,0.010033,0.000669,0.003703
IEF,0.066667,0.034600,0.002307,0.012771
TLT,0.066667,0.055706,0.003714,0.020561
AGG,0.066667,0.031642,0.002109,0.011679
LQD,0.066667,0.045292,0.003019,0.016717
HYG,0.066667,0.041491,0.002766,0.015314
GLD,0.066667,0.374445,0.024963,0.138205
SLV,0.066667,0.848714,0.056581,0.313255
DBC,0.066667,0.053368,0.003558,0.019698
VNQ,0.066667,0.083090,0.005539,0.030668
