strategy,alpha,var_historical,cvar_historical,cvar_var_ratio,var_normal,cvar_normal,cvar_t,cvar_monte_carlo
M0_equal_weight,0.950000,0.010154,0.016482,1.623196,0.011035,0.013916,0.015697,0.015239
M0_equal_weight,0.990000,0.019255,0.028853,1.498496,0.015734,0.018070,0.028253,0.024117
M1_inverse_vol,0.950000,0.005995,0.009470,1.579623,0.006420,0.008107,0.009151,0.008881
M1_inverse_vol,0.990000,0.011230,0.016062,1.430230,0.009171,0.010539,0.016275,0.014080
M2_risk_parity,0.950000,0.006089,0.009737,1.599279,0.006558,0.008277,0.013501,0.009066
M2_risk_parity,0.990000,0.011575,0.016789,1.450377,0.009362,0.010756,0.030965,0.014364
M5_momentum_plus_mr,0.950000,0.006490,0.009922,1.528744,0.006922,0.008684,0.015145,0.009493
M5_momentum_plus_mr,0.990000,0.011840,0.016335,1.379650,0.009796,0.011226,0.034430,0.014925
M9_mean_cvar,0.950000,0.003728,0.006169,1.654690,0.004191,0.005290,0.007908,0.005794
M9_mean_cvar,0.990000,0.007520,0.010738,1.427865,0.005983,0.006874,0.017987,0.009180
SPY_buy_hold,0.950000,0.017800,0.029450,1.654511,0.019409,0.024465,0.029707,0.026787
SPY_buy_hold,0.990000,0.035468,0.051406,1.449359,0.027655,0.031756,0.060478,0.042368
