strategy,regime,start,end,n_days,total_return,ann_vol,max_drawdown,var_95,cvar_95,ann_return,sharpe,worst_day,best_day,hit_rate,regime_key
M0_equal_weight,Global financial crisis,2007-10-09,2009-03-09,356,-0.264195,0.204341,-0.330051,0.023226,0.031888,-0.196266,-0.960481,-0.051893,0.069163,0.477528,gfc
M0_equal_weight,Euro sovereign crisis,2011-07-01,2011-10-04,66,-0.057394,0.150739,-0.094342,0.017432,0.023407,-0.214337,-1.421910,-0.027446,0.025797,0.530303,euro_crisis
M0_equal_weight,Taper tantrum,2013-05-22,2013-09-05,74,-0.033482,0.098168,-0.064394,0.008774,0.015236,-0.111175,-1.132501,-0.027378,0.019063,0.472973,taper_tantrum
M0_equal_weight,Feb-2018 volatility shock,2018-01-26,2018-02-08,10,-0.052632,0.119808,-0.056271,,,-1.352343,-11.287547,-0.014369,0.005136,0.300000,vol_shock_2018
M0_equal_weight,Q4-2018 selloff,2018-10-01,2018-12-24,59,-0.075589,0.088494,-0.074920,0.009439,0.011176,-0.331636,-3.747539,-0.013555,0.009984,0.406780,q4_2018
M0_equal_weight,COVID crash,2020-02-19,2020-03-23,24,-0.184791,0.355753,-0.198413,0.054145,0.056446,-2.074197,-5.830447,-0.057157,0.027584,0.416667,covid
M0_equal_weight,COVID policy recovery,2020-03-24,2020-12-31,197,0.400034,0.135691,-0.052543,0.011977,0.018472,0.439944,3.242254,-0.030355,0.041890,0.619289,covid_recovery
M0_equal_weight,Post-COVID inflation / rate shock,2022-01-03,2022-10-14,198,-0.198570,0.130860,-0.196372,0.014798,0.018493,-0.273039,-2.086500,-0.029717,0.022557,0.429293,inflation_2022
M1_inverse_vol,Global financial crisis,2007-10-09,2009-03-09,356,-0.106138,0.103326,-0.175867,0.011764,0.016418,-0.074093,-0.717077,-0.029034,0.037699,0.502809,gfc
M1_inverse_vol,Euro sovereign crisis,2011-07-01,2011-10-04,66,-0.025923,0.087532,-0.048306,0.010344,0.012926,-0.096486,-1.102296,-0.015979,0.017412,0.560606,euro_crisis
M1_inverse_vol,Taper tantrum,2013-05-22,2013-09-05,74,-0.030015,0.070808,-0.048784,0.006871,0.011033,-0.101280,-1.430337,-0.018754,0.013661,0.472973,taper_tantrum
M1_inverse_vol,Feb-2018 volatility shock,2018-01-26,2018-02-08,10,-0.034056,0.069480,-0.035817,,,-0.869482,-12.514130,-0.008960,0.002648,0.300000,vol_shock_2018
