strategy,alpha,method,n_obs,n_breaches,expected_breaches,breach_rate,expected_rate,kupiec_pvalue,christoffersen_pvalue,joint_pvalue,mean_breach_size,max_breach_size,verdict
M0_equal_weight,0.950000,historical,4941,268,247.050000,0.054240,0.050000,0.177072,0.000000,0.000001,0.005632,0.049870,fail: breaches are clustered
M0_equal_weight,0.950000,ewma_normal,4941,231,247.050000,0.046752,0.050000,0.289730,0.000229,0.000643,0.004930,0.045723,fail: breaches are clustered
M0_equal_weight,0.990000,historical,4941,73,49.410000,0.014774,0.010000,0.001636,0.000010,0.000000,0.007692,0.045130,fail: understates risk
M0_equal_weight,0.990000,ewma_normal,4941,84,49.410000,0.017001,0.010000,0.000007,0.000566,0.000000,0.006587,0.040986,fail: understates risk
M1_inverse_vol,0.950000,historical,4941,268,247.050000,0.054240,0.050000,0.177072,0.000000,0.000000,0.003362,0.034069,fail: breaches are clustered
M1_inverse_vol,0.950000,ewma_normal,4941,216,247.050000,0.043716,0.050000,0.038518,0.000000,0.000000,0.002991,0.030970,fail: overstates risk
M1_inverse_vol,0.990000,historical,4941,64,49.410000,0.012953,0.010000,0.046015,0.000000,0.000000,0.004947,0.030925,fail: understates risk
M1_inverse_vol,0.990000,ewma_normal,4941,83,49.410000,0.016798,0.010000,0.000012,0.000000,0.000000,0.003869,0.028207,fail: understates risk
M2_risk_parity,0.950000,historical,4941,315,247.050000,0.063752,0.050000,0.000020,0.000000,0.000000,0.003259,0.034486,fail: understates risk
M2_risk_parity,0.950000,ewma_normal,4941,225,247.050000,0.045537,0.050000,0.144181,0.000000,0.000000,0.003070,0.031573,fail: breaches are clustered
M2_risk_parity,0.990000,historical,4941,84,49.410000,0.017001,0.010000,0.000007,0.000000,0.000000,0.004341,0.032299,fail: understates risk
M2_risk_parity,0.990000,ewma_normal,4941,93,49.410000,0.018822,0.010000,0.000000,0.000000,0.000000,0.003758,0.028605,fail: understates risk
M5_momentum_plus_mr,0.950000,historical,4941,264,247.050000,0.053430,0.050000,0.273623,0.000000,0.000000,0.003297,0.032577,fail: breaches are clustered
M5_momentum_plus_mr,0.950000,ewma_normal,4941,228,247.050000,0.046145,0.050000,0.207980,0.000001,0.000002,0.003086,0.026036,fail: breaches are clustered
M5_momentum_plus_mr,0.990000,historical,4941,63,49.410000,0.012750,0.010000,0.062359,0.001211,0.000937,0.004310,0.026644,fail: breaches are clustered
M5_momentum_plus_mr,0.990000,ewma_normal,4941,89,49.410000,0.018013,0.010000,0.000000,0.314681,0.000001,0.003309,0.021234,fail: understates risk
M9_mean_cvar,0.950000,historical,4941,320,247.050000,0.064764,0.050000,0.000005,0.000000,0.000000,0.002052,0.028224,fail: understates risk
M9_mean_cvar,0.950000,ewma_normal,4941,225,247.050000,0.045537,0.050000,0.144181,0.000000,0.000000,0.001967,0.024356,fail: breaches are clustered
M9_mean_cvar,0.990000,historical,4941,83,49.410000,0.016798,0.010000,0.000012,0.000000,0.000000,0.002682,0.020985,fail: understates risk
M9_mean_cvar,0.990000,ewma_normal,4941,96,49.410000,0.019429,0.010000,0.000000,0.000000,0.000000,0.002343,0.021163,fail: understates risk
SPY_buy_hold,0.950000,historical,4960,278,248.000000,0.056048,0.050000,0.054991,0.000000,0.000000,0.010708,0.090159,fail: breaches are clustered
SPY_buy_hold,0.950000,ewma_normal,4960,253,248.000000,0.051008,0.050000,0.745393,0.000617,0.002701,0.008979,0.074735,fail: breaches are clustered
SPY_buy_hold,0.990000,historical,4960,86,49.600000,0.017339,0.010000,0.000003,0.000002,0.000000,0.011875,0.076258,fail: understates risk
SPY_buy_hold,0.990000,ewma_normal,4960,112,49.600000,0.022581,0.010000,0.000000,0.000042,0.000000,0.009249,0.060362,fail: understates risk
