strategy,alpha,historical,parametric_normal,parametric_t,cornish_fisher,monte_carlo_normal,monte_carlo_t
M0_equal_weight,0.950000,0.010154,0.011035,0.009503,0.010267,0.010980,0.010474
M0_equal_weight,0.990000,0.019255,0.015734,0.018491,0.032623,0.015958,0.017648
M1_inverse_vol,0.950000,0.005995,0.006420,0.005599,0.005984,0.006388,0.006091
M1_inverse_vol,0.990000,0.011230,0.009171,0.010786,0.018126,0.009302,0.010292
M2_risk_parity,0.950000,0.006089,0.006558,0.006309,0.006008,0.006525,0.006223
M2_risk_parity,0.990000,0.011575,0.009362,0.015309,0.019797,0.009495,0.010504
M5_momentum_plus_mr,0.950000,0.006490,0.006922,0.007220,0.006445,0.006888,0.006578
M5_momentum_plus_mr,0.990000,0.011840,0.009796,0.017115,0.016806,0.009933,0.010968
M9_mean_cvar,0.950000,0.003728,0.004191,0.003728,0.002868,0.004170,0.003977
M9_mean_cvar,0.990000,0.007520,0.005983,0.009000,0.020319,0.006068,0.006713
SPY_buy_hold,0.950000,0.017800,0.019409,0.015882,0.015741,0.019313,0.018424
SPY_buy_hold,0.990000,0.035468,0.027655,0.034680,0.070284,0.028048,0.031015
