strategy,rank,window_end,cumulative_return
M0_equal_weight,0,2008-10-27,-0.244862
M0_equal_weight,1,2020-03-18,-0.211565
M0_equal_weight,2,2022-09-26,-0.100918
M0_equal_weight,3,2009-03-09,-0.098994
M0_equal_weight,4,2008-10-06,-0.098476
M1_inverse_vol,0,2020-03-19,-0.130893
M1_inverse_vol,1,2008-10-27,-0.122713
M1_inverse_vol,2,2022-09-26,-0.075914
M1_inverse_vol,3,2008-09-29,-0.059795
M1_inverse_vol,4,2009-03-09,-0.056904
M2_risk_parity,0,2020-03-18,-0.132814
M2_risk_parity,1,2008-10-27,-0.128095
M2_risk_parity,2,2022-09-26,-0.075788
M2_risk_parity,3,2008-10-06,-0.058807
M2_risk_parity,4,2009-03-09,-0.056729
M5_momentum_plus_mr,0,2020-03-23,-0.113074
M5_momentum_plus_mr,1,2008-10-27,-0.103720
M5_momentum_plus_mr,2,2010-05-26,-0.068845
M5_momentum_plus_mr,3,2022-07-15,-0.060272
M5_momentum_plus_mr,4,2022-12-07,-0.059831
M9_mean_cvar,0,2008-10-10,-0.124506
M9_mean_cvar,1,2020-03-18,-0.065484
M9_mean_cvar,2,2008-11-03,-0.055170
M9_mean_cvar,3,2022-09-26,-0.054554
M9_mean_cvar,4,2009-01-30,-0.035276
SPY_buy_hold,0,2020-03-23,-0.367216
SPY_buy_hold,1,2008-10-27,-0.332376
SPY_buy_hold,2,2009-03-09,-0.209793
SPY_buy_hold,3,2011-08-08,-0.175552
SPY_buy_hold,4,2008-11-20,-0.160778
