fold,train_start,train_end,test_start,test_end,train_days,test_days,status,test_return,test_vol,test_sharpe,test_max_drawdown,test_hit_rate
1,2006-01-03,2010-12-12,2011-01-03,2012-01-02,,252,ok,0.046269,0.124685,0.424975,-0.100740,0.571429
2,2006-01-03,2011-12-12,2012-01-03,2013-01-02,,251,ok,0.121943,0.077112,1.536797,-0.061993,0.537849
3,2006-01-03,2012-12-12,2013-01-03,2014-01-02,,252,ok,-0.001759,0.079727,0.017725,-0.078748,0.539683
4,2006-01-03,2013-12-12,2014-01-03,2015-01-02,,252,ok,0.038535,0.054820,0.717101,-0.047413,0.539683
5,2006-01-03,2014-12-12,2015-01-03,2016-01-02,,251,ok,-0.042659,0.077319,-0.527506,-0.089522,0.486056
6,2006-01-03,2015-12-12,2016-01-03,2017-01-02,,252,ok,0.091066,0.074845,1.201950,-0.053874,0.543651
7,2006-01-03,2016-12-12,2017-01-03,2018-01-02,,252,ok,0.127809,0.044452,2.728516,-0.025332,0.587302
8,2006-01-03,2017-12-12,2018-01-03,2019-01-02,,251,ok,-0.051582,0.074265,-0.678867,-0.095720,0.529880
9,2006-01-03,2018-12-12,2019-01-03,2020-01-02,,252,ok,0.192442,0.055589,3.194918,-0.021796,0.626984
10,2006-01-03,2019-12-12,2020-01-03,2021-01-02,,252,ok,0.162775,0.168194,0.981606,-0.198413,0.615079
11,2006-01-03,2020-12-12,2021-01-03,2022-01-02,,252,ok,0.083813,0.078488,1.064727,-0.040262,0.547619
12,2006-01-03,2021-12-12,2022-01-03,2023-01-02,,251,ok,-0.138187,0.136721,-1.023743,-0.196372,0.442231
13,2006-01-03,2022-12-12,2023-01-03,2024-01-02,,251,ok,0.112887,0.090372,1.233428,-0.080515,0.557769
14,2006-01-03,2023-12-12,2024-01-03,2025-01-02,,252,ok,0.096884,0.084311,1.139066,-0.042226,0.539683
15,2006-01-03,2024-12-12,2025-01-03,2026-01-02,,250,ok,0.230245,0.095515,2.235164,-0.083630,0.620000
16,2006-01-03,2025-12-12,2026-01-03,2026-09-21,,179,ok,0.082236,0.121262,0.978363,-0.075231,0.547486
