fold,train_start,train_end,test_start,test_end,train_days,test_days,status,test_return,test_vol,test_sharpe,test_max_drawdown,test_hit_rate
1,2006-01-03,2010-12-12,2011-01-03,2012-01-02,,252,ok,0.050797,0.071058,0.732764,-0.048306,0.579365
2,2006-01-03,2011-12-12,2012-01-03,2013-01-02,,251,ok,0.086020,0.047517,1.767482,-0.035423,0.553785
3,2006-01-03,2012-12-12,2013-01-03,2014-01-02,,252,ok,0.003084,0.055106,0.083357,-0.059316,0.535714
4,2006-01-03,2013-12-12,2014-01-03,2015-01-02,,252,ok,0.037159,0.034451,1.076278,-0.027147,0.567460
5,2006-01-03,2014-12-12,2015-01-03,2016-01-02,,251,ok,-0.027141,0.048657,-0.543501,-0.059192,0.498008
6,2006-01-03,2015-12-12,2016-01-03,2017-01-02,,252,ok,0.060875,0.045421,1.323796,-0.040201,0.527778
7,2006-01-03,2016-12-12,2017-01-03,2018-01-02,,252,ok,0.083862,0.029923,2.706565,-0.018189,0.583333
8,2006-01-03,2017-12-12,2018-01-03,2019-01-02,,251,ok,-0.021304,0.040847,-0.508907,-0.047123,0.517928
9,2006-01-03,2018-12-12,2019-01-03,2020-01-02,,252,ok,0.133086,0.033566,3.740008,-0.013119,0.607143
10,2006-01-03,2019-12-12,2020-01-03,2021-01-02,,252,ok,0.130855,0.104029,1.234542,-0.126064,0.626984
11,2006-01-03,2020-12-12,2021-01-03,2022-01-02,,252,ok,0.050579,0.052104,0.973054,-0.029830,0.547619
12,2006-01-03,2021-12-12,2022-01-03,2023-01-02,,251,ok,-0.120485,0.097383,-1.274819,-0.164109,0.466135
13,2006-01-03,2022-12-12,2023-01-03,2024-01-02,,251,ok,0.089506,0.068507,1.290611,-0.057630,0.557769
14,2006-01-03,2023-12-12,2024-01-03,2025-01-02,,252,ok,0.074874,0.056546,1.305272,-0.027948,0.539683
15,2006-01-03,2024-12-12,2025-01-03,2026-01-02,,250,ok,0.135327,0.057414,2.257429,-0.045898,0.608000
16,2006-01-03,2025-12-12,2026-01-03,2026-09-21,,179,ok,0.041514,0.059515,0.991904,-0.035125,0.547486
