fold,train_start,train_end,test_start,test_end,train_days,test_days,status,test_return,test_vol,test_sharpe,test_max_drawdown,test_hit_rate
1,2006-01-03,2010-12-12,2011-01-03,2012-01-02,,252,ok,0.056874,0.068310,0.843891,-0.042204,0.583333
2,2006-01-03,2011-12-12,2012-01-03,2013-01-02,,251,ok,0.080172,0.042934,1.825034,-0.030345,0.545817
3,2006-01-03,2012-12-12,2013-01-03,2014-01-02,,252,ok,0.000700,0.053718,0.039797,-0.058576,0.531746
4,2006-01-03,2013-12-12,2014-01-03,2015-01-02,,252,ok,0.035770,0.036884,0.971290,-0.030207,0.563492
5,2006-01-03,2014-12-12,2015-01-03,2016-01-02,,251,ok,-0.027693,0.049430,-0.545746,-0.058609,0.490040
6,2006-01-03,2015-12-12,2016-01-03,2017-01-02,,252,ok,0.060786,0.046775,1.285016,-0.042299,0.527778
7,2006-01-03,2016-12-12,2017-01-03,2018-01-02,,252,ok,0.086398,0.030833,2.703419,-0.019021,0.591270
8,2006-01-03,2017-12-12,2018-01-03,2019-01-02,,251,ok,-0.027357,0.046148,-0.580430,-0.056806,0.517928
9,2006-01-03,2018-12-12,2019-01-03,2020-01-02,,252,ok,0.139889,0.036584,3.598060,-0.014776,0.591270
10,2006-01-03,2019-12-12,2020-01-03,2021-01-02,,252,ok,0.120680,0.106476,1.123717,-0.128654,0.630952
11,2006-01-03,2020-12-12,2021-01-03,2022-01-02,,252,ok,0.049793,0.054111,0.925060,-0.030953,0.535714
12,2006-01-03,2021-12-12,2022-01-03,2023-01-02,,251,ok,-0.115537,0.097653,-1.213365,-0.159869,0.470120
13,2006-01-03,2022-12-12,2023-01-03,2024-01-02,,251,ok,0.083656,0.069108,1.201726,-0.058252,0.549801
14,2006-01-03,2023-12-12,2024-01-03,2025-01-02,,252,ok,0.076322,0.059766,1.260597,-0.027700,0.539683
15,2006-01-03,2024-12-12,2025-01-03,2026-01-02,,250,ok,0.151111,0.061149,2.350855,-0.049193,0.608000
16,2006-01-03,2025-12-12,2026-01-03,2026-09-21,,179,ok,0.054372,0.068740,1.118804,-0.042159,0.558659
