fold,train_start,train_end,test_start,test_end,train_days,test_days,status,test_return,test_vol,test_sharpe,test_max_drawdown,test_hit_rate
1,2006-01-03,2010-12-12,2011-01-03,2012-01-02,,252,ok,0.071191,0.097091,0.756734,-0.061841,0.519841
2,2006-01-03,2011-12-12,2012-01-03,2013-01-02,,251,ok,-0.026083,0.051180,-0.492911,-0.041047,0.509960
3,2006-01-03,2012-12-12,2013-01-03,2014-01-02,,252,ok,0.137534,0.068766,1.908597,-0.037038,0.559524
4,2006-01-03,2013-12-12,2014-01-03,2015-01-02,,252,ok,0.095941,0.046003,2.014718,-0.032615,0.563492
5,2006-01-03,2014-12-12,2015-01-03,2016-01-02,,251,ok,-0.031207,0.064108,-0.464555,-0.095562,0.505976
6,2006-01-03,2015-12-12,2016-01-03,2017-01-02,,252,ok,0.034784,0.060405,0.596111,-0.055855,0.519841
7,2006-01-03,2016-12-12,2017-01-03,2018-01-02,,252,ok,0.029917,0.047440,0.645040,-0.025166,0.511905
8,2006-01-03,2017-12-12,2018-01-03,2019-01-02,,251,ok,0.005777,0.055863,0.131408,-0.046029,0.537849
9,2006-01-03,2018-12-12,2019-01-03,2020-01-02,,252,ok,-0.005991,0.048913,-0.098470,-0.045881,0.515873
10,2006-01-03,2019-12-12,2020-01-03,2021-01-02,,252,ok,0.042899,0.067397,0.656761,-0.070741,0.515873
11,2006-01-03,2020-12-12,2021-01-03,2022-01-02,,252,ok,0.077881,0.052578,1.452816,-0.031301,0.559524
12,2006-01-03,2021-12-12,2022-01-03,2023-01-02,,251,ok,0.008860,0.085721,0.146074,-0.088801,0.537849
13,2006-01-03,2022-12-12,2023-01-03,2024-01-02,,251,ok,-0.033975,0.066161,-0.491540,-0.066447,0.486056
14,2006-01-03,2023-12-12,2024-01-03,2025-01-02,,252,ok,0.014326,0.044710,0.340441,-0.047213,0.527778
15,2006-01-03,2024-12-12,2025-01-03,2026-01-02,,250,ok,-0.001007,0.050913,0.005412,-0.060354,0.504000
16,2006-01-03,2025-12-12,2026-01-03,2026-09-21,,179,ok,-0.046790,0.070400,-0.922937,-0.094956,0.513966
