fold,train_start,train_end,test_start,test_end,train_days,test_days,status,test_return,test_vol,test_sharpe,test_max_drawdown,test_hit_rate
1,2006-01-03,2010-12-12,2011-01-03,2012-01-02,,252,ok,0.080952,0.082469,0.985122,-0.066287,0.539683
2,2006-01-03,2011-12-12,2012-01-03,2013-01-02,,251,ok,-0.058581,0.056542,-1.043578,-0.080677,0.501992
3,2006-01-03,2012-12-12,2013-01-03,2014-01-02,,252,ok,0.083934,0.052070,1.574020,-0.031947,0.555556
4,2006-01-03,2013-12-12,2014-01-03,2015-01-02,,252,ok,0.019968,0.045435,0.457803,-0.041423,0.500000
5,2006-01-03,2014-12-12,2015-01-03,2016-01-02,,251,ok,0.002321,0.052951,0.070313,-0.065809,0.513944
6,2006-01-03,2015-12-12,2016-01-03,2017-01-02,,252,ok,0.038629,0.057677,0.685803,-0.042792,0.496032
7,2006-01-03,2016-12-12,2017-01-03,2018-01-02,,252,ok,0.042158,0.045181,0.936536,-0.023977,0.500000
8,2006-01-03,2017-12-12,2018-01-03,2019-01-02,,251,ok,-0.038237,0.041206,-0.929324,-0.055985,0.466135
9,2006-01-03,2018-12-12,2019-01-03,2020-01-02,,252,ok,0.050675,0.047399,1.066584,-0.033139,0.500000
10,2006-01-03,2019-12-12,2020-01-03,2021-01-02,,252,ok,-0.035424,0.103479,-0.296885,-0.123911,0.480159
11,2006-01-03,2020-12-12,2021-01-03,2022-01-02,,252,ok,0.074487,0.047583,1.533752,-0.020839,0.543651
12,2006-01-03,2021-12-12,2022-01-03,2023-01-02,,251,ok,0.028236,0.086238,0.367223,-0.068751,0.513944
13,2006-01-03,2022-12-12,2023-01-03,2024-01-02,,251,ok,-0.054488,0.060421,-0.900775,-0.071964,0.545817
14,2006-01-03,2023-12-12,2024-01-03,2025-01-02,,252,ok,0.005852,0.051642,0.138720,-0.056975,0.503968
15,2006-01-03,2024-12-12,2025-01-03,2026-01-02,,250,ok,0.011225,0.062078,0.212161,-0.041043,0.512000
16,2006-01-03,2025-12-12,2026-01-03,2026-09-21,,179,ok,-0.035290,0.052960,-0.928564,-0.063716,0.502793
