fold,train_start,train_end,test_start,test_end,train_days,test_days,status,test_return,test_vol,test_sharpe,test_max_drawdown,test_hit_rate
1,2006-01-03,2010-12-12,2011-01-03,2012-01-02,,252,ok,0.098535,0.036382,2.601718,-0.015595,0.599206
2,2006-01-03,2011-12-12,2012-01-03,2013-01-02,,251,ok,0.045147,0.020459,2.177285,-0.015678,0.589641
3,2006-01-03,2012-12-12,2013-01-03,2014-01-02,,252,ok,-0.004130,0.033801,-0.105595,-0.043660,0.519841
4,2006-01-03,2013-12-12,2014-01-03,2015-01-02,,252,ok,0.045153,0.022459,1.977772,-0.011583,0.595238
5,2006-01-03,2014-12-12,2015-01-03,2016-01-02,,251,ok,-0.015907,0.031503,-0.495327,-0.041926,0.513944
6,2006-01-03,2015-12-12,2016-01-03,2017-01-02,,252,ok,0.042952,0.030418,1.397855,-0.028983,0.523810
7,2006-01-03,2016-12-12,2017-01-03,2018-01-02,,252,ok,0.035560,0.020106,1.748013,-0.014890,0.571429
8,2006-01-03,2017-12-12,2018-01-03,2019-01-02,,251,ok,-0.001326,0.020821,-0.053605,-0.020144,0.513944
9,2006-01-03,2018-12-12,2019-01-03,2020-01-02,,252,ok,0.092377,0.023124,3.833097,-0.012272,0.615079
10,2006-01-03,2019-12-12,2020-01-03,2021-01-02,,252,ok,0.051107,0.058186,0.885811,-0.075981,0.630952
11,2006-01-03,2020-12-12,2021-01-03,2022-01-02,,252,ok,-0.001349,0.027015,-0.036505,-0.025414,0.515873
12,2006-01-03,2021-12-12,2022-01-03,2023-01-02,,251,ok,-0.102728,0.070994,-1.497255,-0.130842,0.470120
13,2006-01-03,2022-12-12,2023-01-03,2024-01-02,,251,ok,0.056006,0.059748,0.945508,-0.044961,0.505976
14,2006-01-03,2023-12-12,2024-01-03,2025-01-02,,252,ok,0.050624,0.039675,1.264610,-0.022829,0.559524
15,2006-01-03,2024-12-12,2025-01-03,2026-01-02,,250,ok,0.071140,0.033106,2.109276,-0.021668,0.568000
16,2006-01-03,2025-12-12,2026-01-03,2026-09-21,,179,ok,0.046777,0.029060,2.229512,-0.013217,0.553073
