lookback,rebalance,sharpe,gross_sharpe,cagr,turnover
5,weekly,-0.469420,0.344551,-0.024621,66.529228
5,monthly,0.075897,0.273612,0.002487,15.168427
5,quarterly,0.169404,0.228502,0.006897,4.366552
10,weekly,-0.577107,0.133300,-0.029996,58.070587
10,monthly,0.020125,0.213811,-0.000226,15.388352
10,quarterly,0.122378,0.179679,0.004884,4.480895
15,weekly,-0.609931,-0.002295,-0.032286,50.632458
15,monthly,-0.039001,0.153022,-0.003174,15.364353
15,quarterly,0.207625,0.264757,0.009048,4.441705
21,weekly,-0.608906,-0.076156,-0.032482,44.677992
21,monthly,-0.212851,-0.019307,-0.011707,15.449680
21,quarterly,0.193109,0.250021,0.008626,4.627454
42,weekly,-0.428403,-0.046523,-0.024409,33.336354
42,monthly,-0.338446,-0.174468,-0.018727,13.822682
42,quarterly,0.041072,0.096827,0.000770,4.795851
63,weekly,-0.329747,-0.017348,-0.019617,27.893111
63,monthly,-0.392511,-0.256496,-0.022322,11.930074
63,quarterly,-0.090808,-0.033540,-0.006123,4.838171
