lookback,rebalance,sharpe,gross_sharpe,cagr,turnover
21,weekly,-0.410094,-0.029399,-0.023649,33.375910
21,monthly,0.057752,0.240647,0.001650,15.352910
21,quarterly,0.005388,0.063301,-0.001151,4.978852
42,weekly,-0.279411,-0.002560,-0.016621,24.279717
42,monthly,0.124156,0.247253,0.005254,10.706765
42,quarterly,0.152346,0.205028,0.007146,4.883688
63,weekly,-0.120314,0.104982,-0.007950,19.655888
63,monthly,0.242802,0.345953,0.011660,8.873859
63,quarterly,0.069010,0.125185,0.002266,4.924406
84,weekly,-0.070123,0.125315,-0.005224,16.922445
84,monthly,0.138639,0.228896,0.006022,7.827677
84,quarterly,0.100803,0.147280,0.004086,4.230662
126,weekly,-0.002135,0.153963,-0.001553,13.281307
126,monthly,0.260963,0.336848,0.012115,6.210781
126,quarterly,0.042338,0.083256,0.000829,3.537825
168,weekly,0.021333,0.156335,-0.000271,11.354616
168,monthly,0.239177,0.303620,0.011129,5.305255
168,quarterly,0.115363,0.149427,0.004657,2.860255
189,weekly,0.082251,0.207697,0.002966,10.563728
189,monthly,0.302080,0.360451,0.014623,4.887261
189,quarterly,0.124431,0.157834,0.005176,2.858363
252,weekly,0.010909,0.112682,-0.000898,8.860790
252,monthly,0.215784,0.266649,0.010145,4.333686
252,quarterly,-0.045554,-0.015017,-0.003912,2.683450
