period,n_obs,return,vol,sharpe,max_drawdown,hit_rate,positive
2011,252,0.046269,0.124685,0.424975,-0.100740,0.571429,True
2012,250,0.110380,0.076613,1.415961,-0.061993,0.536000,True
2013,252,0.011539,0.080350,0.182906,-0.078748,0.543651,True
2014,252,0.035027,0.054903,0.654469,-0.047413,0.535714,True
2015,252,-0.042170,0.077168,-0.519828,-0.089522,0.488095,False
2016,252,0.091066,0.074845,1.201950,-0.053874,0.543651,True
2017,251,0.122891,0.044368,2.645473,-0.025332,0.585657,True
2018,251,-0.047790,0.074405,-0.623620,-0.095720,0.529880,False
2019,252,0.186001,0.055353,3.110403,-0.021796,0.626984,True
2020,253,0.169534,0.167939,1.013688,-0.198413,0.616601,True
2021,252,0.083813,0.078488,1.064727,-0.040262,0.547619,True
2022,251,-0.138187,0.136721,-1.023743,-0.196372,0.442231,False
2023,250,0.119212,0.090345,1.301784,-0.080515,0.560000,True
2024,252,0.088182,0.084504,1.042365,-0.042226,0.535714,True
2025,250,0.226990,0.095436,2.208918,-0.083630,0.620000,True
2026,180,0.087604,0.121040,1.032089,-0.075231,0.550000,True
