period,n_obs,return,vol,sharpe,max_drawdown,hit_rate,positive
2011,252,0.050797,0.071058,0.732764,-0.048306,0.579365,True
2012,250,0.079001,0.047204,1.647397,-0.035423,0.552000,True
2013,252,0.011579,0.055450,0.235265,-0.059316,0.539683,True
2014,252,0.033755,0.034494,0.979675,-0.027147,0.563492,True
2015,252,-0.025838,0.048581,-0.514606,-0.059192,0.500000,False
2016,252,0.060875,0.045421,1.323796,-0.040201,0.527778,True
2017,251,0.081971,0.029949,2.656455,-0.018189,0.581673,True
2018,251,-0.020275,0.040881,-0.482647,-0.047123,0.517928,False
2019,252,0.129278,0.033374,3.660363,-0.013119,0.607143,True
2020,253,0.135456,0.103883,1.270406,-0.126064,0.628458,True
2021,252,0.050579,0.052104,0.973054,-0.029830,0.547619,True
2022,251,-0.120485,0.097383,-1.274819,-0.164109,0.466135,False
2023,250,0.094679,0.068453,1.366366,-0.057630,0.560000,True
2024,252,0.068557,0.056761,1.196657,-0.027948,0.535714,True
2025,250,0.134171,0.057393,2.240316,-0.045898,0.608000,True
2026,180,0.043785,0.059393,1.039807,-0.035125,0.550000,True
