period,n_obs,return,vol,sharpe,max_drawdown,hit_rate,positive
2011,252,0.056874,0.068310,0.843891,-0.042204,0.583333,True
2012,250,0.074249,0.042700,1.712257,-0.030345,0.544000,True
2013,252,0.008194,0.053962,0.178135,-0.058576,0.535714,True
2014,252,0.032607,0.036932,0.887264,-0.030207,0.559524,True
2015,252,-0.026627,0.049346,-0.522303,-0.058609,0.492063,False
2016,252,0.060786,0.046775,1.285016,-0.042299,0.527778,True
2017,251,0.084130,0.030844,2.645140,-0.019021,0.589641,True
2018,251,-0.025799,0.046197,-0.544985,-0.056806,0.517928,False
2019,252,0.135668,0.036396,3.514435,-0.014776,0.591270,True
2020,253,0.125396,0.106329,1.160235,-0.128654,0.632411,True
2021,252,0.049793,0.054111,0.925060,-0.030953,0.535714,True
2022,251,-0.115537,0.097653,-1.213365,-0.159869,0.470120,False
2023,250,0.088735,0.069064,1.275397,-0.058252,0.552000,True
2024,252,0.069788,0.059961,1.155115,-0.027700,0.535714,True
2025,250,0.149548,0.061115,2.329723,-0.049193,0.608000,True
2026,180,0.057299,0.068610,1.171333,-0.042159,0.561111,True
