period,n_obs,return,vol,sharpe,max_drawdown,hit_rate,positive
2011,252,0.071191,0.097091,0.756734,-0.061841,0.519841,True
2012,250,-0.030672,0.051051,-0.589600,-0.041047,0.508000,False
2013,252,0.149207,0.068630,2.061078,-0.037038,0.563492,True
2014,252,0.081275,0.045728,1.731850,-0.032615,0.559524,True
2015,252,-0.023441,0.064496,-0.335628,-0.095562,0.507937,False
2016,252,0.034784,0.060405,0.596111,-0.055855,0.519841,True
2017,251,0.024295,0.047228,0.533865,-0.025166,0.509960,True
2018,251,0.010203,0.056121,0.209610,-0.046029,0.537849,True
2019,252,-0.007186,0.048871,-0.123208,-0.045881,0.515873,False
2020,253,0.045284,0.067297,0.689003,-0.070741,0.517787,True
2021,252,0.077881,0.052578,1.452816,-0.031301,0.559524,True
2022,251,0.008860,0.085721,0.146074,-0.088801,0.537849,True
2023,250,-0.033560,0.066293,-0.485993,-0.066447,0.488000,False
2024,252,0.014249,0.044710,0.338732,-0.047213,0.527778,True
2025,250,-0.003131,0.050882,-0.036775,-0.060354,0.500000,False
2026,180,-0.045097,0.070244,-0.884442,-0.094956,0.516667,False
