period,n_obs,return,vol,sharpe,max_drawdown,hit_rate,positive
2011,252,0.080952,0.082469,0.985122,-0.066287,0.539683,True
2012,250,-0.065941,0.056062,-1.198406,-0.080677,0.500000,False
2013,252,0.088523,0.052512,1.641681,-0.031947,0.555556,True
2014,252,0.021955,0.045546,0.499533,-0.041423,0.500000,True
2015,252,0.004004,0.052872,0.101902,-0.065809,0.515873,True
2016,252,0.038629,0.057677,0.685803,-0.042792,0.496032,True
2017,251,0.041793,0.045271,0.930625,-0.023977,0.498008,True
2018,251,-0.035082,0.041115,-0.851526,-0.055010,0.470120,False
2019,252,0.043571,0.047357,0.924194,-0.033139,0.496032,True
2020,253,-0.031693,0.103351,-0.258808,-0.123911,0.482213,False
2021,252,0.074487,0.047583,1.533752,-0.020839,0.543651,True
2022,251,0.028236,0.086238,0.367223,-0.068751,0.513944,True
2023,250,-0.054817,0.060539,-0.908404,-0.071964,0.544000,False
2024,252,0.008045,0.051609,0.180966,-0.056975,0.507937,True
2025,250,0.009783,0.062105,0.188932,-0.041043,0.512000,True
2026,180,-0.035678,0.052812,-0.936644,-0.063716,0.500000,False
