period,n_obs,return,vol,sharpe,max_drawdown,hit_rate,positive
2011,252,0.098535,0.036382,2.601718,-0.015595,0.599206,True
2012,250,0.043964,0.020478,2.128249,-0.015678,0.588000,True
2013,252,-0.003697,0.033813,-0.092700,-0.043660,0.519841,False
2014,252,0.044293,0.022424,1.944045,-0.011583,0.595238,True
2015,252,-0.014408,0.031480,-0.445333,-0.041926,0.515873,False
2016,252,0.042952,0.030418,1.397855,-0.028983,0.523810,True
2017,251,0.036150,0.020134,1.780963,-0.014890,0.573705,True
2018,251,-0.002550,0.020818,-0.112761,-0.020144,0.509960,False
2019,252,0.089958,0.022987,3.759386,-0.012272,0.615079,True
2020,253,0.054133,0.058132,0.932448,-0.075981,0.632411,True
2021,252,-0.001349,0.027015,-0.036505,-0.025414,0.515873,False
2022,251,-0.102728,0.070994,-1.497255,-0.130842,0.470120,False
2023,250,0.059800,0.059745,1.009736,-0.044961,0.508000,True
2024,252,0.045369,0.039835,1.133784,-0.022829,0.555556,True
2025,250,0.072371,0.033126,2.142966,-0.021668,0.568000,True
2026,180,0.047071,0.028978,2.236867,-0.013217,0.555556,True
