date,M0_equal_weight,M1_inverse_vol,M2_risk_parity,M3_momentum,M4_mean_reversion,M5_momentum_plus_mr,M6_combined_alpha_mvo,M7_combined_alpha_shrinkage_mvo,M8_black_litterman,M9_mean_cvar,SPY_buy_hold
2006,0.091492,0.062813,0.000000,-0.039732,-0.074058,-0.084713,0.000000,0.000000,0.000000,0.000000,0.138428
2007,0.113325,0.087873,0.078738,0.009017,-0.047600,-0.000092,0.068282,0.068554,0.113275,0.063900,0.051463
2008,-0.162467,-0.043120,-0.041026,0.106481,-0.143906,-0.044768,0.047462,0.045509,-0.032316,0.016239,-0.367950
2009,0.234489,0.125956,0.121711,-0.035863,0.048401,-0.024303,0.039276,0.037295,0.165358,0.027765,0.263517
2010,0.193411,0.131515,0.124412,-0.023260,0.012708,-0.000859,0.037284,0.036969,0.063202,0.092669,0.150562
2011,0.046269,0.050797,0.056874,0.071191,0.007505,0.080952,-0.008544,-0.009103,0.010571,0.098535,0.018950
2012,0.110380,0.079001,0.074249,-0.030672,-0.035946,-0.065941,0.033629,0.031027,0.031471,0.043964,0.159903
2013,0.011539,0.011579,0.008194,0.149207,-0.010021,0.088523,0.046299,0.049965,0.077564,-0.003697,0.323077
2014,0.035027,0.033755,0.032607,0.081275,-0.043721,0.021955,0.041430,0.042280,-0.006179,0.044293,0.134638
2015,-0.042170,-0.025838,-0.026627,-0.023441,0.043180,0.004004,-0.067514,-0.068472,-0.131269,-0.014408,0.012343
2016,0.091066,0.060875,0.060786,0.034784,0.062904,0.038629,0.047475,0.046435,0.082207,0.042952,0.119979
2017,0.122891,0.081971,0.084130,0.024295,0.001613,0.041793,0.083893,0.083325,0.140253,0.036150,0.217054
2018,-0.047790,-0.020275,-0.025799,0.010203,-0.031707,-0.035082,-0.030255,-0.029492,0.003822,-0.002550,-0.045690
2019,0.186001,0.129278,0.135668,-0.007186,0.022233,0.043571,0.132330,0.131748,0.101054,0.089958,0.312239
2020,0.169534,0.135456,0.125396,0.045284,-0.035567,-0.031693,0.061502,0.058064,0.059366,0.054133,0.183316
2021,0.083813,0.050579,0.049793,0.077881,-0.030440,0.074487,0.046949,0.043814,0.084000,-0.001349,0.287288
2022,-0.138187,-0.120485,-0.115537,0.008860,-0.041134,0.028236,-0.159222,-0.158220,-0.201827,-0.102728,-0.181754
2023,0.119212,0.094679,0.088735,-0.033560,-0.033841,-0.054817,0.070823,0.071656,0.127490,0.059800,0.261758
2024,0.088182,0.068557,0.069788,0.014249,-0.019915,0.008045,0.099120,0.098157,0.068946,0.045369,0.248865
2025,0.226990,0.134171,0.149548,-0.003131,-0.007462,0.009783,0.173165,0.173272,0.206414,0.072371,0.177191
2026,0.087604,0.043785,0.057299,-0.045097,-0.003014,-0.035678,0.028014,0.030463,0.014493,0.047071,0.143157
