,,start,end,n_obs,cagr,ann_return_arith,ann_vol,sharpe,sortino,calmar,omega,max_drawdown,max_drawdown_date,time_underwater_share,hit_rate,best_day,worst_day,skew,excess_kurtosis,var_95,cvar_95,tail_ratio,total_return,sample,model
development,M0_equal_weight,2006-04-10,2015-12-31,2450,0.057914742587548584,0.06361114497520967,0.12077453919000279,0.5266933362100141,0.5099343763222528,0.17547232783046351,1.103286148637871,-0.3300505743760589,2008-11-20,0.9118367346938776,0.5383673469387755,0.06916253170888643,-0.051893303880204446,0.02099043659097054,8.319598976275552,0.01165200143173455,0.01819763041822942,0.9095844646097799,0.7289363027723468,development,M0_equal_weight
development,M1_inverse_vol,2006-04-10,2015-12-31,2450,0.05150989687728935,0.05240118388709063,0.06568225394088024,0.7977981987989674,0.7728998552994993,0.2928909368453463,1.1579786429383931,-0.17586715871815406,2008-11-20,0.8710204081632653,0.553469387755102,0.03769916333397509,-0.029034144049704055,0.07554203860980169,7.890236745532933,0.006283117770489562,0.009594939529476517,0.9452055092268,0.6297898615614952,development,M1_inverse_vol
development,M2_risk_parity,2006-04-10,2015-12-31,2450,0.042655441908610925,0.043945806996149604,0.06576619912754435,0.6682126621142094,0.6245511616776008,0.23232029418456007,1.138787000365865,-0.18360618067539358,2008-11-20,0.8053061224489796,0.4942857142857143,0.042780438915219106,-0.02825006203353749,0.21311570493345502,10.360610359330028,0.006369967566274745,0.009797914414172984,0.9262867068844463,0.501124195439492,development,M2_risk_parity
development,M3_momentum,2006-04-10,2015-12-31,2450,0.02505725168901285,0.027484043673996365,0.07385933463474462,0.3721133396328679,0.36584216039138506,0.26221025759133093,1.0699840368613471,-0.09556167603506172,2015-08-24,0.9281632653061225,0.49142857142857144,0.03149696293519035,-0.03877883541740643,-0.1468127329730839,6.014956662413258,0.007421142462116438,0.01085795576738038,0.9813774316797831,0.2721075633956149,development,M3_momentum
development,M4_mean_reversion,2006-04-10,2015-12-31,2450,-0.024704304348689088,-0.022325810829331844,0.07342539537562795,-0.3040611591550577,-0.30625157647425044,-0.09108773171226257,0.9465147289264599,-0.27121439829819916,2015-01-29,0.9983673469387755,0.4881632653061225,0.035693176071121935,-0.030419482061869584,0.08900168384098733,5.5279222567197195,0.007032961775358012,0.010791582979117765,1.0322496026864942,-0.2159346463634313,development,M4_mean_reversion
development,M5_momentum_plus_mr,2006-04-10,2015-12-31,2450,-0.002069481734270018,0.0005266934204507151,0.07210789757516423,0.007304240425283479,0.007229712291685122,-0.010693848938979612,1.0013094557592115,-0.19352075628510645,2008-10-27,0.9983673469387755,0.5077551020408163,0.028991143708489465,-0.028236910437220524,0.0042260223950723865,4.80733102868651,0.007137999274191907,0.010630505027639401,0.9911996451952071,-0.01994466487387281,development,M5_momentum_plus_mr
development,M6_combined_alpha_mvo,2006-04-10,2015-12-31,2450,0.023722117074278515,0.025843070532974546,0.06922429876676807,0.3733236882622033,0.3451831532512422,0.11177251497612832,1.0781007938184948,-0.2122356921050308,2008-10-27,0.8473469387755102,0.4873469387755102,0.06537691792143363,-0.038603664458242135,0.7070052688822577,27.977351394155193,0.006186744061112008,0.010492211948089728,0.9646150702555715,0.2560855501169961,development,M6_combined_alpha_mvo
development,M7_combined_alpha_shrinkage_mvo,2006-04-10,2015-12-31,2450,0.023340879396342107,0.025472123760728407,0.06924682458082958,0.3678453692991456,0.34060920150904794,0.11002410552640739,1.0768285741758683,-0.2121433233623513,2008-10-27,0.8493877551020408,0.4853061224489796,0.06532766870553951,-0.03856465194541304,0.6916862294441511,27.793148253168223,0.006225426185570721,0.010496601530710487,0.9736775522400714,0.25154393592527,development,M7_combined_alpha_shrinkage_mvo
development,M8_black_litterman,2006-04-10,2015-12-31,2450,0.026890680646649123,0.03154914265192813,0.10007375500939326,0.315258907282602,0.28692323244195295,0.09164437340778046,1.0663011691157127,-0.2934242403185676,2008-10-27,0.8555102040816327,0.48244897959183675,0.07607787128218865,-0.05607380581437373,0.07504884707312702,17.770190683298697,0.009113007397758343,0.015709095367410126,0.9600954330333006,0.29440801058877875,development,M8_black_litterman
development,M9_mean_cvar,2006-04-10,2015-12-31,2450,0.0373053393694982,0.037542899926419813,0.04255157301854173,0.8822917054102936,0.8259629506403475,0.275091786902385,1.2003709222187027,-0.13561051672813418,2008-10-27,0.7902040816326531,0.5004081632653061,0.0405376533537501,-0.0320607236159636,0.5669502036394088,35.96963592013238,0.0034581972357397724,0.006131162319477483,1.0659563854131289,0.42787228917843123,development,M9_mean_cvar
development,SPY_buy_hold,2006-04-10,2015-12-31,2450,0.06964117621414911,0.08915632333269428,0.20896426960352799,0.42665822009596344,0.40407916795106985,0.12618569095862034,1.0880627744785711,-0.5518944001105982,2009-03-09,0.9085714285714286,0.5485714285714286,0.14519729746661536,-0.09844758700563416,0.21569340497918799,14.392227542459594,0.019562415042797137,0.03211465325585831,0.923287230201751,0.9245807833450896,development,SPY_buy_hold
validation,M0_equal_weight,2016-01-04,2021-12-31,1511,0.09831600195896417,0.09794876785670897,0.09184249864770644,1.0664863140584322,0.9409911374994971,0.4955127555519744,1.2256186540812428,-0.19841265609690606,2020-03-18,0.8484447385837194,0.5751158173395102,0.04188972301588526,-0.05715676033360806,-1.6246649811245322,19.722765628981747,0.007458719185557431,0.013527873006847995,1.110411144808394,0.7537738823153979,validation,M0_equal_weight
validation,M1_inverse_vol,2016-01-04,2021-12-31,1511,0.07179608934950155,0.07089304654009926,0.05670606708487511,1.2501845073118845,1.1225364563528542,0.5695212055351938,1.2702467155743875,-0.12606394397910592,2020-03-18,0.8398411647915288,0.5684976836532097,0.02296270413640168,-0.037636846617919856,-1.6012565386104658,19.40366897287415,0.004243566500126766,0.008306581468503871,1.1915264109725041,0.5149017226744208,validation,M1_inverse_vol
