date,M0_equal_weight,M1_inverse_vol,M2_risk_parity,M3_momentum,M4_mean_reversion,M5_momentum_plus_mr,M6_combined_alpha_mvo,M7_combined_alpha_shrinkage_mvo,M8_black_litterman,M9_mean_cvar,SPY_buy_hold
2006-07-05,,,,,,,,,,,0.256974
2006-07-06,,,,,,,,,,,0.307474
2006-07-07,,,,,,,,,,,0.190514
2006-07-10,,,,,,,,,,,0.222974
2006-07-11,,,,,,,,,,,0.298812
2006-07-12,,,,,,,,,,,0.111164
2006-07-13,,,,,,,,,,,-0.164928
2006-07-14,,,,,,,,,,,-0.228907
2006-07-17,,,,,,,,,,,-0.252323
2006-07-18,,,,,,,,,,,-0.166226
2006-07-19,,,,,,,,,,,0.062614
2006-07-20,,,,,,,,,,,-0.048453
2006-07-21,,,,,,,,,,,-0.161295
2006-07-24,,,,,,,,,,,0.127978
2006-07-25,,,,,,,,,,,0.182910
2006-07-26,,,,,,,,,,,0.203053
2006-07-27,,,,,,,,,,,0.187713
2006-07-28,,,,,,,,,,,0.339139
2006-07-31,,,,,,,,,,,0.322458
2006-08-01,0.143102,0.205761,,1.040957,-0.821617,-0.744418,,,,,0.246080
2006-08-02,0.296596,0.351373,,-0.331720,-0.714697,-0.728378,,,,,0.346395
2006-08-03,0.296657,0.361274,,-0.571130,-0.751906,-0.779126,,,,,0.384928
2006-08-04,0.360106,0.465971,,-0.582380,-0.927145,-0.906157,,,,,0.357916
2006-08-07,0.328574,0.432889,,-0.456703,-0.840310,-0.814744,,,,,0.321704
2006-08-08,0.234752,0.341948,,-0.521914,-0.914411,-0.868483,,,,,0.263469
2006-08-09,0.262566,0.351859,,-0.161614,-0.882761,-0.813329,,,,,0.212527
2006-08-10,0.210234,0.312885,,-0.669003,-0.943195,-0.905243,,,,,0.256912
2006-08-11,0.085644,0.166331,,-0.127295,-0.936870,-0.875068,,,,,0.214488
2006-08-14,0.108731,0.166996,,0.012140,-0.934470,-0.874503,,,,,0.225295
2006-08-15,0.284975,0.395306,,-1.021065,-1.006044,-1.030399,,,,,0.395170
2006-08-16,0.412768,0.565719,,-1.606354,-1.061827,-1.157371,,,,,0.511441
2006-08-17,0.327853,0.497865,,-1.793199,-1.139421,-1.250289,,,,,0.545979
2006-08-18,0.368715,0.561593,,-1.935510,-1.154785,-1.278145,,,,,0.615593
2006-08-21,0.419140,0.617971,,-1.614220,-1.185927,-1.248344,,,,,0.552237
2006-08-22,0.406955,0.615132,,-1.610544,-1.216526,-1.274535,,,,,0.549423
2006-08-23,0.345455,0.543608,,-1.516895,-1.240189,-1.282334,,,,,0.508532
2006-08-24,0.347839,0.561733,,-1.555638,-1.210862,-1.251424,,,,,0.495059
2006-08-25,0.367274,0.591815,,-1.696740,-1.227964,-1.283449,,,,,0.510748
2006-08-28,0.353683,0.595371,,-1.790074,-1.309145,-1.361946,,,,,0.574947
2006-08-29,0.414820,0.653652,,-1.933611,-1.295764,-1.370117,,,,,0.589135
2006-08-30,0.499717,0.742849,,-2.014966,-1.245204,-1.332128,,,,,0.595828
2006-08-31,0.561027,0.811642,,-2.115424,-1.278099,-1.358182,,,,,0.591940
2006-09-01,0.590781,0.846930,,-2.299518,-1.305500,-1.394389,,,,,0.670843
2006-09-05,0.643414,0.856249,,-2.336208,-1.177454,-1.315418,,,,,0.694753
2006-09-06,0.501943,0.720405,,-1.406051,-1.178960,-1.194561,,,,,0.569701
2006-09-07,0.369573,0.616711,,-1.341330,-1.275613,-1.261086,,,,,0.505160
2006-09-08,0.345583,0.625802,,-1.396126,-1.406662,-1.373825,,,,,0.541801
2006-09-11,0.145735,0.472125,,-1.395527,-1.630878,-1.563732,,,,,0.553604
2006-09-12,0.238783,0.591806,,-1.784625,-1.843774,-1.814555,,,,,0.679482
2006-09-13,0.305440,0.659215,,-1.928809,-1.886167,-1.879287,,,,,0.730309
2006-09-14,0.198939,0.551505,,-1.945613,-1.932182,-1.929410,,,,,0.729237
2006-09-15,0.229538,0.573685,,-1.946568,-1.949034,-1.938729,,,,,0.757929
2006-09-18,0.297446,0.612694,,-2.010813,-1.774129,-1.812883,,,,,0.773670
2006-09-19,0.215984,0.610124,,-1.941689,-2.016312,-1.999601,,,,,0.738445
2006-09-20,0.299167,0.692578,,-2.242683,-2.059828,-2.104043,,,,,0.804529
2006-09-21,0.325669,0.777543,,-2.101389,-2.029922,-2.031803,,,,,0.738316
2006-09-22,0.286138,0.761282,,-1.887629,-2.076553,-2.027540,,,,,0.696557
2006-09-25,0.367894,0.867791,,-2.204472,-2.160230,-2.168663,,,,,0.791171
2006-09-26,0.411055,0.874916,,-2.312103,-2.059497,-2.129786,,,,,0.892118
2006-09-27,0.483093,0.932202,,-2.144723,-1.932883,-1.980280,,,,,0.904943
2006-09-28,0.488583,0.935999,,-2.130778,-1.863568,-1.915314,,,,,0.897742
2006-09-29,0.443107,0.881434,,-2.059590,-1.835804,-1.891309,,,,,0.884844
2006-10-02,0.402752,0.864420,,-1.741082,-1.889275,-1.800166,,,,,0.834355
2006-10-03,0.288089,0.791329,,-1.598828,-2.046091,-1.995019,,,,,0.858495
2006-10-04,0.417219,0.963907,,-1.632093,-2.182226,-2.198061,,,,,0.995546
2006-10-05,0.480793,0.968265,,-1.908861,-2.017828,-2.206205,,,,,1.016764
2006-10-06,0.429486,0.854373,,-2.108396,-1.867068,-2.163949,,,,,0.998376
2006-10-09,0.499332,0.927973,,-2.155447,-1.803605,-2.077291,,,,,1.003122
2006-10-10,0.441817,0.820240,,-2.331308,-1.780911,-2.207371,,,,,1.016929
2006-10-11,0.403137,0.765122,,-2.310037,-1.778435,-2.204258,,,,,0.999632
2006-10-12,0.531079,0.890276,,-2.489320,-1.773062,-2.321907,,,,,1.098937
2006-10-13,0.622319,0.934138,,-2.709755,-1.581487,-2.250466,,,,,1.127163
2006-10-16,0.684915,1.005580,,-2.682078,-1.567644,-2.199959,,,,,1.142929
2006-10-17,0.622419,0.966131,,-2.450597,-1.600614,-2.114258,,,,,1.101145
