pair,start,end,n_obs,cagr,ann_return_arith,ann_vol,sharpe,sortino,calmar,omega,max_drawdown,max_drawdown_date,time_underwater_share,hit_rate,best_day,worst_day,skew,excess_kurtosis,var_95,cvar_95,tail_ratio,total_return,gross_sharpe,ann_turnover,share_of_days_in_position,n_round_trips,half_life_days,adf_pvalue,selected_on_development
LQD/HYG,2007-04-12,2026-09-21,4892,0.009154,0.011477,0.068886,0.166612,0.128777,0.057336,1.051587,-0.159652,2022-10-24,0.988553,0.213205,0.086929,-0.036245,3.416366,66.416099,0.005531,0.009600,1.021966,0.193844,0.408624,16.692906,0.424571,89,61.005740,0.052452,False
SPY/IWM,2006-01-04,2026-09-21,5210,-0.004073,-0.001403,0.073377,-0.019118,-0.013407,-0.012518,0.995046,-0.325374,2022-02-02,0.977543,0.211900,0.061474,-0.041082,0.762179,16.024780,0.007069,0.011444,1.046485,-0.081057,0.208358,16.667405,0.423417,88,65.339284,0.073146,False
AGG/IEF,2006-01-04,2026-09-21,5210,-0.022586,-0.022481,0.028247,-0.795872,-0.489619,-0.059381,0.737047,-0.380353,2026-09-18,0.989827,0.219578,0.022887,-0.059329,-9.886099,322.044091,0.001773,0.003450,0.810228,-0.376968,-0.273620,14.840202,0.467754,86,67.740750,0.089896,False
IEF/TLT,2006-01-04,2026-09-21,5210,-0.012730,-0.011889,0.043475,-0.273456,-0.183036,-0.046816,0.932539,-0.271907,2023-10-20,0.993090,0.226871,0.026804,-0.030335,-0.354270,14.360870,0.004385,0.007144,1.001547,-0.233062,0.134652,17.715381,0.445106,103,134.381405,0.134507,False
SHY/IEF,2006-01-04,2026-09-21,5210,-0.016614,-0.016701,0.012837,-1.300939,-0.937385,-0.056453,0.745276,-0.294295,2026-09-15,0.992322,0.257582,0.006535,-0.005935,-0.307239,6.610301,0.001389,0.002116,0.872900,-0.293189,-0.464288,10.994660,0.552207,83,325.279001,0.220422,False
SPY/VNQ,2006-01-04,2026-09-21,5210,0.013185,0.019348,0.111718,0.173183,0.128348,0.045425,1.048215,-0.290260,2026-06-01,0.978887,0.237044,0.092410,-0.103635,0.661093,32.749631,0.010116,0.016552,0.965646,0.311670,0.322454,16.639785,0.467562,94,82.649392,0.228743,False
GLD/DBC,2006-02-07,2026-09-21,5187,-0.062356,-0.056077,0.129903,-0.431682,-0.326865,-0.078220,0.897095,-0.797188,2026-03-02,0.993060,0.240409,0.105409,-0.081598,0.694018,16.845924,0.013326,0.020844,0.892102,-0.734873,-0.361055,9.226810,0.507808,76,469.937239,0.266588,False
GLD/SLV,2006-05-01,2026-09-21,5130,-0.038929,-0.033451,0.112386,-0.297648,-0.207616,-0.059408,0.920254,-0.655282,2026-01-27,0.988889,0.228070,0.110150,-0.080638,0.013873,30.492264,0.009655,0.018004,0.992465,-0.555003,-0.165047,14.923152,0.468226,87,254.243658,0.425815,False
SPY/QQQ,2006-01-04,2026-09-21,5210,0.001525,0.003116,0.056429,0.055218,0.040177,0.006328,1.015704,-0.240947,2020-03-23,0.990595,0.228983,0.040609,-0.035142,0.671687,24.895658,0.004534,0.008538,1.083185,0.032060,0.347393,16.433527,0.453551,100,254.911241,0.610273,False
EFA/EEM,2006-01-04,2026-09-21,5210,-0.000647,0.001771,0.069564,0.025465,0.017731,-0.001928,1.006562,-0.335692,2020-03-20,0.986180,0.215739,0.035201,-0.046537,-0.076330,12.450953,0.006991,0.011051,1.041319,-0.013318,0.242660,15.087387,0.434549,94,613.985928,0.842784,False
