pair,hedge_ratio,correlation,adf_stat,adf_pvalue,half_life_days,spread_vol,cointegrated,tradable,n_obs
LQD/HYG,0.810359,0.394501,-2.842518,0.052452,61.005740,0.047533,False,False,2199
SPY/IWM,0.946847,0.917333,-2.705182,0.073146,65.339284,0.041288,False,False,2517
AGG/IEF,0.773499,0.651402,-2.615201,0.089896,67.740750,0.019821,False,False,2517
IEF/TLT,0.777954,0.910532,-2.426094,0.134507,134.381405,0.037929,False,False,2517
SHY/IEF,0.361139,0.714400,-2.161743,0.220422,325.279001,0.023525,False,False,2517
SPY/VNQ,0.829899,0.784191,-2.139986,0.228743,82.649392,0.089677,False,False,2517
GLD/DBC,0.249464,0.442763,-2.046442,0.266588,469.937239,0.311652,False,False,2494
GLD/SLV,0.745935,0.812555,-1.710298,0.425815,254.243658,0.144694,False,False,2437
SPY/QQQ,0.698783,0.917260,-1.340870,0.610273,254.911241,0.078646,False,False,2517
EFA/EEM,0.659179,0.894560,-0.715158,0.842784,613.985928,0.131652,False,False,2517
