,value
gross_n_obs,5191
gross_cagr,0.0011728023574002489
gross_ann_return_arith,0.0014889614643086228
gross_ann_vol,0.02508660528821386
gross_sharpe,0.059352847752906765
gross_sortino,0.0545781712622045
gross_calmar,0.017888731630417116
gross_omega,1.01260970665693
gross_max_drawdown,-0.06556095656363214
gross_time_underwater_share,0.8663070699287228
gross_hit_rate,0.4484685031785783
gross_best_day,0.019225014646519614
gross_worst_day,-0.027620457733116874
gross_skew,-0.5243445037167301
gross_excess_kurtosis,39.05811117803265
gross_var_95,0.0021413566540499354
gross_cvar_95,0.003575766720796879
gross_tail_ratio,1.0085861293968383
gross_total_return,0.024481682381936487
start,2006-02-01
end,2026-09-21
n_obs,5191
cagr,-0.007024803429249049
ann_return_arith,-0.006745602724163244
ann_vol,0.02514200327960959
sharpe,-0.26830012903681366
sortino,-0.24607851857800028
calmar,-0.04353994379958186
omega,0.9452501578145533
max_drawdown,-0.16134158237743323
max_drawdown_date,2021-11-30
time_underwater_share,0.8776728953958775
hit_rate,0.4380658832594876
best_day,0.019117825568706254
worst_day,-0.027620457733116874
skew,-0.5381056333564402
excess_kurtosis,38.23978056429311
var_95,0.0022084170065733355
cvar_95,0.0036216686805888676
tail_ratio,0.9636002797567204
total_return,-0.135383861516728
ann_turnover,13.249071152800342
ann_cost_drag,0.008234564188471866
name,pca_stat_arb
cost_of_trading_sharpe,0.32765297678972044
